WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
D0378,D0378,BORING,,AWAITING DRILLING,137316.83,573832.3,9-D0378-D0378A-A0001A
C8762,C8762,BORING,,DECOMMISSIONED-V,134132.9,566827.82,9-C8762-C8762A-A0001A
D0352,D0352,BORING,,DECOMMISSIONED-V,136143.7216,575353.0333,9-D0352-D0352A-A0001A
C8672,C8672,HOSTED LYSIMETER,C8093,CANDIDATE FOR DECOMMISSIONING,133274.71,574944.74,9-C8672-C8672A-A0001A
D0012,299-E25-96,PROPOSED SITE,,AWAITING DRILLING,135967.24,575364.43,1-0299-E0025A-A0096A
D0013,299-W10-201,GROUNDWATER WELL,,IN-USE,136957.24,566017.2,1-0299-W0010A-A0201A
D0016,299-W18-261,GROUNDWATER WELL,,IN-USE,135064.168,566625.427,1-0299-W0018A-A0261A
C9426,699-36-58J,GROUNDWATER WELL,,IN-USE,134437.639,572386.368,1-0699-A0036-A0058J
C9427,699-35-58D,GROUNDWATER WELL,,IN-USE,134365.554,571951.778,1-0699-A0035-A0058D
D0023,299-W10-205,GROUNDWATER WELL,,IN-USE,137184.87,566785.69,1-0299-W0010A-A0205A
D0025,299-W10-206,PROPOSED SITE,,AWAITING DRILLING,137120.56,566379.14,1-0299-W0010A-A0206A
D0369,299-W11-107,GROUNDWATER WELL,,IN-USE,136583.6,567573.99,1-0299-W0011A-A0107A
D0371,299-W13-5,GROUNDWATER WELL,,IN-USE,135702.89,568110.39,1-0299-W0013A-A0005A
C8720,299-W6-15,GROUNDWATER WELL,,IN-USE,137076.41,567781.69,1-0299-W0006A-A0015A
C7741,C7741,INSTRUMENT BORING,,DECOMMISSIONED-V,134338.3,566872.4,9-C7741-C7741A-A0001A
C8320,C8320,VADOSE WELL,,DRILLING CANCELLED,138711.49,586906.95,9-C8320-C8320A-A0001A
C7775,C7775,INSTRUMENT BORING,,IN-USE,136342.4,566727.4,9-C7775-C7775A-A0001A
C8386,699-43-67B,GROUNDWATER WELL,,IN-USE,136560.2,569374.78,1-0699-A0043-A0067B
C6928,C6928,BORING,,DECOMMISSIONED-V,136431.4,566765.782,9-C6928-C6928A-A0001A
C7746,C7746,BORING,,DECOMMISSIONED-V,134374.2,566829.9,9-C7746-C7746A-A0001A
C9507,C9507,BORING,,DECOMMISSIONED-V,136032.03,566847.78,9-C9507-C9507A-A0001A
C9509,C9509,CANCELLED SITE,,DRILLING CANCELLED,136229,566569,9-C9509-C9509A-A0001A
C9512,C9512,BORING,,DECOMMISSIONED-V,134419.87,567186.3,9-C9512-C9512A-A0001A
C9515,299-W22-117,GROUNDWATER WELL,,IN-USE,134659.96,567619.03,1-0299-W0022A-A0117A
C9517,299-W22-119,GROUNDWATER WELL,,IN-USE,134662.99,567624.05,1-0299-W0022A-A0119A
C7675,C7675,INSTRUMENT BORING,,DECOMMISSIONED-V,136568.7,575080.4,9-C7675-C7675A-A0001A
C6835,C6835,BORING,,DECOMMISSIONED-V,134258.7,566983.95,9-C6835-C6835A-A0001A
C7841,C7841,VADOSE WELL,,CANDIDATE FOR DECOMMISSIONING,136429.69,581062.9,9-C7841-C7841A-A0001A
C7918,C7918,CANCELLED SITE,,DRILLING CANCELLED,136462.34,566946.2,9-C7918-C7918A-A0001A
C7919,C7919,CANCELLED SITE,,DRILLING CANCELLED,136468.08,566948.88,9-C7919-C7919A-A0001A
C8054,C8054,BORING,,DECOMMISSIONED-V,134367.99,576550.24,9-C8054-C8054A-A0001A
C6552,C6552,BORING,,DECOMMISSIONED-V,135495.39,575048.95,9-C6552-C6552A-A0001A
C7047,299-E13-65,VADOSE WELL,,IN-USE,134372.34,573593.09,1-0299-E0013A-A0065A
C6487,C6487,LYSIMETER HOST,,CANDIDATE FOR DECOMMISSIONING,133283.077,566450.915,9-C6487-C6487A-A0001A
C6992,C6992,VADOSE WELL,,IN-USE,136508.54,574406.54,9-C6992-C6992A-A0001A
C7000,C7000,VADOSE WELL,,IN-USE,136501.1,574405.75,9-C7000-C7000A-A0001A
C7001,C7001,VADOSE WELL,,IN-USE,136500.99,574409.54,9-C7001-C7001A-A0001A
C7012,C7012,VADOSE WELL,,IN-USE,136492.46,574403.63,9-C7012-C7012A-A0001A
C7957,C7957,BORING,,DECOMMISSIONED-V,133577,566651,9-C7957-C7957A-A0001A
C6524,C6524,LYSIMETER HOST,,CANDIDATE FOR DECOMMISSIONING,133274.45,566465.091,9-C6524-C6524A-A0001A
C6531,C6531,HOSTED LYSIMETER,C6530,CANDIDATE FOR DECOMMISSIONING,133273.294,566469.822,9-C6531-C6531A-A0001A
C7020,299-W11-50,GROUNDWATER WELL,,IN-USE,136756.64,566966.27,1-0299-W0011A-A0050A
C7021,299-W14-73,GROUNDWATER WELL,,IN-USE,136204.58,567358.99,1-0299-W0014A-A0073A
C7892,C7892,BORING,,DECOMMISSIONED-V,138451.35,575536.28,9-C7892-C7892A-A0001A
C7896,299-W22-97,CANCELLED SITE,,DRILLING CANCELLED,134481.49,567595.52,1-0299-W0022A-A0097A
C7512,C7512,VADOSE WELL,,DRILLING CANCELLED,138785.27,585668.01,9-C7512-C7512A-A0001A
C8133,C8133,INSTRUMENT BORING,,DECOMMISSIONED-V,137491.9,573642.3,9-C8133-C8133A-A0001A
C8135,C8135,INSTRUMENT BORING,,DECOMMISSIONED-V,137516.4,573672.3,9-C8135-C8135A-A0001A
C8139,C8139,INSTRUMENT BORING,,DECOMMISSIONED-V,137540.1,573679.5,9-C8139-C8139A-A0001A
