NAME_norm,HexCr_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W23-236,3.15,566798.66,134128.15,299-W23-236,UU/MU
299-W26-13,107.98,566424.387,133293.598,299-W26-13,UU/MU
299-W26-14,2.64,566682.69,133539.21,299-W26-14,UU/MU
299-W26-15,2.98,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,2.98,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,2.98,566575.83,133391.21,299-W26-15,UU/MU
299-W26-16,6.05,566324.31,133233.15,299-W26-16,UU/MU
299-W27-2,3.21,566908.267,133670.351,299-W27-2,LU/CR
299-W27-3,2.64,566923.55,133756.88,299-W27-3,UU/MU
299-W5-2Q,113.0,568175.4,137621.12,299-W5-2Q,LU/CR
299-W6-17,44.3,567767.41,137473.37,299-W6-17,LU/CR
299-W7-15,5.52,566772.11,137635.28,299-W7-15,UU/MU
299-W7-15,5.52,566772.11,137635.28,299-W7-15,UU/MU
299-W7-16,4.08,566085.14,137265.57,299-W7-16,UU/MU
299-W7-16,4.08,566085.14,137265.57,299-W7-16,UU/MU
699-25-70,22.4,568544.855,131171.718,699-25-70,UU/MU
699-27-68,58.7,569324.76,131676.43,699-27-68,UU/MU
699-29-66,106.0,570053.53,132336.94,699-29-66,UU/MU
699-30-63,125.0,570716.9,132674.86,699-30-63,UU/MU
699-30-66,88.9,569990.98,132739.19,699-30-66,LU/CR
699-30-70,25.7,568428.93,132581.66,699-30-70,UU/MU
699-30-73,27.6,567781.9,132789.76,699-30-73,UU/MU
699-31-68,33.69,569598.0,133080.6,699-31-68,UU/MU
699-32-59,119.0,571800.08,133400.32,699-32-59,UU/MU
699-32-62,108.0,571009.564,133215.925,699-32-62,UU/MU
699-32-64,21.1,570451.01,133304.04,699-32-64,UU/MU
699-32-70B,20.4,568461.999,133242.245,699-32-70B,UU/MU
699-32-76,14.2,566683.94,133137.73,699-32-76,UU/MU
699-32-77B,128.0,566402.07,133172.13,699-32-77B,UU/MU
699-32-77B,128.0,566402.07,133172.13,699-32-77B,UU/MU
699-33-75,2.51,566907.78,133662.48,699-33-75,UU/MU
699-33-76,2.5,566621.21,133600.43,699-33-76,UU/MU
699-34-61,27.2,571395.863,133809.862,699-34-61,UU/MU
699-34-72,10.7,567859.97,133785.33,699-34-72,UU/MU
699-35-66A,15.5,569857.861,134099.244,699-35-66A,UU/MU
699-36-61A,2.5,571395.472,134557.106,699-36-61A,UU/MU
699-36-63B,11.7,570683.53,134228.69,699-36-63B,UU/MU
699-43-69,5.35,568967.03,136488.48,699-43-69,UU/MU
699-44-70B,17.3,568670.06,136810.37,699-44-70B,LU/CR
699-45-67C,17.2,569431.19,137131.75,699-45-67C,LU/CR
699-45-67C,17.2,569431.19,137131.75,699-45-67C,LU/CR
699-46-61,7.87,571431.17,137442.38,699-46-61,UU/MU
699-46-61,7.87,571431.17,137442.38,699-46-61,UU/MU
699-46-70,16.5,568697.17,137656.02,699-46-70,LU/CR
699-46-70,16.5,568697.17,137656.02,699-46-70,LU/CR
699-47-60,5.68,571474.38,137968.732,699-47-60,UU/MU
699-47-60,5.68,571474.38,137968.732,699-47-60,UU/MU
699-48-71,63.5,568387.914,138056.941,699-48-71,UU/MU
