name,x,y,avg_ctet_2018_2020,type,hs,ind3_4,ind34,ind50,ind100,ind500,ind1000,ind1500
299-W19-48,567822.93,134925.99,5.7,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W19-49,567568.04,134894.38,85.75,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W19-6,567133.33,134693.76,34.9,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W20-1,568219.97,135054.03,82.76363636,CHARACTERIZATION,UU/MU,0,0,0,1,1,1,1
299-W21-2,568124.39,134573.79,12.2,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W21-3,568570.76,133980.24,1.6,CHARACTERIZATION,UU/MU,1,1,1,1,1,1,1
299-W22-113,566904.52,134192.75,36.55,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-114,567726.31,134048.07,4.375,CHARACTERIZATION,UU/MU,0,1,1,1,1,1,1
299-W22-115,566939.39,134292.43,40.7,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-116,566900.5,134139.92,50.4,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W22-47,566908.74,134076.28,68.56666667,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W22-72,567237.37,134207.08,49.68333333,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-80,566842.851,134125.649,37.35,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-81,567000.263,134354.189,60.9,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W22-84,566978.76,134547.62,47.7,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-85,566902.9,134260.58,36.05,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W22-86,567186.74,134041.31,21.3,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W22-87,567541.75,134539.88,10.66666667,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W22-88,568046.48,134390.53,4.053333333,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W22-93,566949.07,134485.98,75.65,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W22-94,567009.82,134429.75,66.05,MONITORING,UU/MU,0,0,0,1,1,1,1
299-W23-19,566759.115,134166.653,47.75,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W23-20,566717.669,134446.189,47.25,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W23-21,566707.737,134293.994,29.7,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W23-4,566628.216,134391.881,42.05,MONITORING,UU/MU,0,0,1,1,1,1,1
299-W26-13,566424.387,133293.598,0.311,MONITORING,UU/MU,1,1,1,1,1,1,1
299-W26-14,566682.69,133539.21,3.083333333,MONITORING,UU/MU,1,1,1,1,1,1,1
299-W27-2,566908.267,133670.351,2.426666667,MONITORING,UU/MU,1,1,1,1,1,1,1
299-W6-11,567162.516,137634.825,19.4,MONITORING,UU/MU,0,1,1,1,1,1,1
299-W6-3,567118.18,137299.13,1.24,MONITORING,UU/MU,1,1,1,1,1,1,1
299-W9-2,565742.21,136872.84,2.7575,MONITORING,UU/MU,1,1,1,1,1,1,1
699-30-66,569990.98,132739.19,0.643333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-32-62,571009.564,133215.925,0.317666667,MONITORING,UU/MU,1,1,1,1,1,1,1
699-32-72A,567942.676,133362.612,0.701666667,MONITORING,UU/MU,1,1,1,1,1,1,1
699-32-76,566683.94,133137.73,0.266666667,MONITORING,UU/MU,1,1,1,1,1,1,1
699-33-75,566907.78,133662.48,4.986666667,MONITORING,UU/MU,0,1,1,1,1,1,1
