,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
23,23,39,55,566350.0,138950.0,10390055,3,0,3,0,0,0,0,138950.0,566350.0,23,1,1,3,2,2,3,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,8.0,10.0,7.0,4
24,24,39,56,566450.0,138950.0,10390056,2,0,2,0,0,0,0,138950.0,566450.0,24,1,1,3,2,2,3,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4.0,7.0,7.0,9.0,6.0,3
25,25,39,57,566550.0,138950.0,10390057,2,0,2,0,0,0,0,138950.0,566550.0,25,1,1,3,2,2,2,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4.0,7.0,6.0,9.0,6.0,3
26,26,39,58,566650.0,138950.0,10390058,1,0,1,0,0,0,0,138950.0,566650.0,26,1,1,3,2,3,2,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,3.0,6.0,6.0,8.0,5.0,2
27,27,39,59,566750.0,138950.0,10390059,1,0,1,0,0,0,0,138950.0,566750.0,27,0,1,3,2,3,2,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,2.0,6.0,6.0,8.0,5.0,2
28,28,39,60,566850.0,138950.0,10390060,0,0,0,0,0,0,0,138950.0,566850.0,28,0,1,4,2,3,2,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,1.0,6.0,5.0,7.0,4.0,1
29,29,39,61,566950.0,138950.0,10390061,0,0,0,0,0,0,0,138950.0,566950.0,29,0,1,3,2,3,2,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,5.0,7.0,4.0,1
30,30,39,62,567050.0,138950.0,10390062,0,0,0,0,0,0,0,138950.0,567050.0,30,0,1,3,2,3,1,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,4.0,7.0,4.0,1
31,31,39,63,567150.0,138950.0,10390063,0,0,0,0,0,0,0,138950.0,567150.0,31,0,1,3,2,3,1,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,4.0,7.0,4.0,1
32,32,39,64,567250.0,138950.0,10390064,1,0,1,0,0,0,0,138950.0,567250.0,32,1,1,3,2,3,1,4,3,0,4,1,0,0.0,0.0,0.0,0,0.0,0.0,3.0,6.0,5.0,8.0,5.0,2
33,33,39,65,567350.0,138950.0,10390065,1,0,1,0,0,0,0,138950.0,567350.0,33,1,2,3,2,3,1,4,3,1,4,1,0,0.0,0.0,0.0,0,0.0,0.0,4.0,6.0,5.0,8.0,6.0,2
34,34,39,66,567450.0,138950.0,10390066,1,0,2,0,0,0,0,138950.0,567450.0,34,2,2,3,2,3,1,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,7.0,5.0,9.0,5.0,3
35,35,39,67,567550.0,138950.0,10390067,1,0,2,0,0,0,0,138950.0,567550.0,35,3,2,3,2,2,1,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,4.0,9.0,5.0,3
36,36,39,68,567650.0,138950.0,10390068,2,0,3,0,0,0,0,138950.0,567650.0,36,3,2,3,1,2,1,4,3,1,3,1,0,0.0,0.0,0.0,0,0.0,0.0,7.0,7.0,5.0,10.0,6.0,4
37,37,39,69,567750.0,138950.0,10390069,2,0,3,0,0,0,0,138950.0,567750.0,37,3,1,3,1,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,4.0,10.0,6.0,4
38,38,39,70,567850.0,138950.0,10390070,2,0,4,0,0,0,0,138950.0,567850.0,38,3,1,4,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,6.0,8.0,4.0,11.0,6.0,5
39,39,39,71,567950.0,138950.0,10390071,3,0,4,0,0,0,0,138950.0,567950.0,39,3,1,4,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,7.0,8.0,5.0,11.0,7.0,5
40,40,39,72,568050.0,138950.0,10390072,3,0,4,0,0,0,0,138950.0,568050.0,40,4,1,4,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,5.0,11.0,7.0,5
41,41,39,73,568150.0,138950.0,10390073,4,0,4,0,0,0,0,138950.0,568150.0,41,4,1,4,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,8.0,6.0,11.0,8.0,5
42,42,39,74,568250.0,138950.0,10390074,4,0,4,0,0,0,0,138950.0,568250.0,42,4,1,4,0,1,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,8.0,5.0,11.0,8.0,5
43,43,39,75,568350.0,138950.0,10390075,4,0,4,0,0,0,0,138950.0,568350.0,43,4,1,3,0,1,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,5.0,11.0,8.0,5
44,44,39,76,568450.0,138950.0,10390076,4,0,4,0,0,0,0,138950.0,568450.0,44,4,1,2,0,1,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,5.0,11.0,8.0,5
45,45,39,77,568550.0,138950.0,10390077,4,0,4,0,0,0,0,138950.0,568550.0,45,4,1,1,0,1,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,5.0,11.0,8.0,5
46,46,39,78,568650.0,138950.0,10390078,4,0,4,0,0,0,0,138950.0,568650.0,46,4,1,1,1,1,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,5.0,11.0,8.0,5
47,47,39,79,568750.0,138950.0,10390079,4,0,4,0,0,0,0,138950.0,568750.0,47,4,1,1,1,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,6.0,11.0,8.0,5
48,48,39,80,568850.0,138950.0,10390080,4,0,4,0,0,0,0,138950.0,568850.0,48,4,1,1,1,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,6.0,11.0,8.0,5
49,49,39,81,568950.0,138950.0,10390081,4,0,4,0,0,0,0,138950.0,568950.0,49,4,1,1,1,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,6.0,11.0,8.0,5
50,50,39,82,569050.0,138950.0,10390082,4,0,4,0,0,0,0,138950.0,569050.0,50,4,1,1,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,6.0,11.0,8.0,5
51,51,39,83,569150.0,138950.0,10390083,4,0,4,0,0,0,0,138950.0,569150.0,51,4,1,1,0,2,0,4,3,2,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,6.0,11.0,8.0,5
52,52,39,84,569250.0,138950.0,10390084,4,0,4,0,0,0,0,138950.0,569250.0,52,3,1,1,0,2,1,4,3,3,2,1,0,0.0,0.0,0.0,0,0.0,0.0,8.0,5.0,7.0,11.0,9.0,5
53,53,39,85,569350.0,138950.0,10390085,4,0,4,0,0,0,0,138950.0,569350.0,53,3,2,2,0,2,1,4,3,3,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,7.0,11.0,9.0,5
54,54,39,86,569450.0,138950.0,10390086,4,0,4,0,0,0,0,138950.0,569450.0,54,3,2,2,0,2,1,4,3,3,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,7.0,11.0,9.0,5
55,55,39,87,569550.0,138950.0,10390087,4,0,4,0,0,0,0,138950.0,569550.0,55,3,2,2,0,3,1,4,3,3,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,8.0,11.0,9.0,5
56,56,39,88,569650.0,138950.0,10390088,4,0,4,0,0,0,0,138950.0,569650.0,56,3,2,2,0,3,1,4,3,3,2,1,0,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,8.0,11.0,9.0,5
57,57,39,89,569750.0,138950.0,10390089,4,0,4,0,0,0,0,138950.0,569750.0,57,3,2,2,0,3,1,4,3,3,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,8.0,11.0,9.0,6
