,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING
0,39,32,564050.0,138950.0,10390032,4,0,4,0,0,0,0,138950.0,564050.0
1,39,33,564150.0,138950.0,10390033,4,0,4,0,0,0,0,138950.0,564150.0
2,39,34,564250.0,138950.0,10390034,4,0,4,0,0,0,0,138950.0,564250.0
3,39,35,564350.0,138950.0,10390035,4,0,4,0,0,0,0,138950.0,564350.0
4,39,36,564450.0,138950.0,10390036,4,0,4,0,0,0,0,138950.0,564450.0
5,39,37,564550.0,138950.0,10390037,4,0,4,0,0,0,0,138950.0,564550.0
6,39,38,564650.0,138950.0,10390038,4,0,4,0,0,0,0,138950.0,564650.0
7,39,39,564750.0,138950.0,10390039,4,0,4,0,0,0,0,138950.0,564750.0
8,39,40,564850.0,138950.0,10390040,4,0,4,0,0,0,0,138950.0,564850.0
9,39,41,564950.0,138950.0,10390041,4,0,4,0,0,0,0,138950.0,564950.0
10,39,42,565050.0,138950.0,10390042,4,0,4,0,0,0,0,138950.0,565050.0
11,39,43,565150.0,138950.0,10390043,4,0,4,0,0,0,0,138950.0,565150.0
12,39,44,565250.0,138950.0,10390044,4,0,4,0,0,0,0,138950.0,565250.0
13,39,45,565350.0,138950.0,10390045,3,0,4,0,0,0,0,138950.0,565350.0
14,39,46,565450.0,138950.0,10390046,3,0,4,0,0,0,0,138950.0,565450.0
15,39,47,565550.0,138950.0,10390047,3,0,4,0,0,0,0,138950.0,565550.0
16,39,48,565650.0,138950.0,10390048,3,0,4,0,0,0,0,138950.0,565650.0
17,39,49,565750.0,138950.0,10390049,3,0,4,0,0,0,0,138950.0,565750.0
18,39,50,565850.0,138950.0,10390050,3,0,4,0,0,0,0,138950.0,565850.0
19,39,51,565950.0,138950.0,10390051,3,0,4,0,0,0,0,138950.0,565950.0
20,39,52,566050.0,138950.0,10390052,3,0,4,0,0,0,0,138950.0,566050.0
21,39,53,566150.0,138950.0,10390053,3,0,4,0,0,0,0,138950.0,566150.0
22,39,54,566250.0,138950.0,10390054,3,0,3,0,0,0,0,138950.0,566250.0
23,39,55,566350.0,138950.0,10390055,3,0,3,0,0,0,0,138950.0,566350.0
24,39,56,566450.0,138950.0,10390056,2,0,2,0,0,0,0,138950.0,566450.0
25,39,57,566550.0,138950.0,10390057,2,0,2,0,0,0,0,138950.0,566550.0
