FID,Shape,row,col,Easting,Northing,MW_nearest,MW_Distance_m,Smw_fscore,EW_Nearest,EW_Distance_m,Sew_fscore,cr_nearest_di_m,cr_dist_cl_m,cr_comb_dist_m,cr_poly_count,cr_raw_score,cr_Spcs_fscore,tec99_nearest_di_m,tec99_dist_cl_m,tec99_comb_dist_m,tec99_poly_count,tec99_raw_score,tec99_Spcs_fscore,ctet_nearest_di_m,ctet_dist_cl_m,ctet_comb_dist_m,ctet_poly_count,ctet_raw_score,ctet_Spcs_fscore,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score
10,Point,39,42,565050,138950,699-49-79,990.410384,4,299-W11-50,2912.545073,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3532.587669,2.570453537,3,2,20207.58392,2.022668364,3,3,1209.640192,0.840069673,4,3,1108.239775,0.771184911,2,2,533486.9912,3.427544671,1,1,7667.468375,0.79404658,2.1293951093584583e-28,1.0394388196495557e-33,7.804830896733959e-25,1.1848459173422214e-28,1.857066391351664e-12,1.2839394079363892e-15,1.653406241561026e-09,3.2859671221477338e-12,0.0,0.0,1.808196023884425e-27,4.347237175707194e-33,1.1659353551659548e-23,1.1969877060813065e-27,1.4107957273376076e-11,8.381301559306787e-15,9.951515173890686e-09,1.7588410612295414e-11,0.0,0.0,2.266089527020679e-19,-2.155201840315944e-31,3.332578160337302e-11,-2.304181400873956e-16,1.7941186241798021e-06,1.672291482464196e-10,2.920188156216735e-05,1.7373457798804264e-08,0.0,0.0
11,Point,39,43,565150,138950,699-49-79,920.156578,4,299-W11-50,2847.747321,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3392.914716,2.555427312,3,2,20281.51136,2.027568411,3,3,1205.187283,0.842287913,4,3,1108.239775,0.771184911,2,2,509084.0017,3.423145454,1,1,7512.047119,0.791908592,3.0401869632295456e-26,1.5882566943828752e-30,1.390780477154873e-22,1.1382317936472738e-26,1.1411142417226892e-10,3.329531427953202e-14,8.547084131791468e-08,6.954875250922349e-11,0.0,0.0,3.772544215969665e-25,1.5119420918183796e-29,1.935889257648638e-21,1.4053108906502078e-25,7.009054385145396e-10,2.1219713257349532e-13,4.3774979444767e-07,3.5935709352110547e-10,0.0,0.0,9.008885861074351e-10,5.972971445103958e-14,8.260133893479663e-09,3.995492819647868e-12,4.247565814179919e-05,4.142887260891111e-09,0.000704071239888308,2.6801108188525746e-07,0.0,0.0
12,Point,39,44,565250,138950,699-49-79,855.840831,4,299-W11-50,2785.033358,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3240.206517,2.54175987,3,2,20348.55264,2.030746189,3,3,1199.433854,0.844966225,4,3,1108.239775,0.771184911,2,2,482152.5914,3.427868627,1,1,7402.287434,0.790342737,8.266983388010631e-31,5.89384835606789e-28,3.4041117482015195e-20,3.209829765701553e-25,6.2460205598845e-09,1.3431745544475074e-12,3.864674333441211e-06,2.352472986505062e-09,0.0,0.0,1.2866474871472306e-30,6.872637293089015e-27,3.839574542968673e-19,4.6029075017609704e-24,3.712068427188644e-08,8.353993111022644e-12,1.817587935624261e-05,1.1734428391753824e-08,0.0,0.0,9.242788802418306e-10,1.2849301513809065e-12,-7.196392854166277e-08,-4.690488182242354e-13,0.0008496576628214009,1.5760589375885692e-07,0.007761147071411196,6.251149956169264e-06,0.0,0.0
13,Point,39,45,565350,138950,699-49-79,798.898572,3,299-W11-50,2724.547082,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3087.827961,2.531704938,4,2,20410.7131,2.03361651,3,3,1198.521928,0.845220931,4,3,1108.239775,0.771184911,1,2,454824.2802,3.437849317,1,1,7330.340229,0.789113987,6.861522600768384e-22,-3.732161608357288e-55,3.770477713661057e-17,-6.136391792233238e-25,3.237944348698397e-07,8.105663758880485e-11,0.0001396255678245,1.1336481061942697e-07,0.0,0.0,2.927586095356672e-21,-2.3201732233570853e-56,4.024801097498543e-16,-6.0876252386539456e-24,1.8477031755466851e-06,4.873710931442721e-10,0.000623730536831,5.409262593021756e-07,0.0,0.0,5.001051811851311e-08,1.022970202335417e-20,0.0002374270959775396,1.148278854245222e-08,0.01202378064485561,1.1877708126522587e-05,0.06809891970112411,0.0002135347438466954,0.0,0.0
14,Point,39,46,565450,138950,699-49-79,751.008874,3,299-W11-50,2666.440099,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,2930.213001,2.520214686,4,2,20464.27329,2.036235865,3,3,1199.556399,0.844570121,4,3,1108.239775,0.771184911,1,2,429390.7663,3.451463745,1,1,7296.205242,0.788009969,1.2261483272809744e-18,1.130951173931363e-22,4.883276568283172e-15,7.169737117153673e-19,6.47792543352846e-06,1.9693148836444183e-09,0.0018441918963832,2.03804999177023e-06,0.0,0.0,1.0653629864717029e-17,1.1892680028099549e-21,6.991574082168555e-14,1.2892043309954413e-18,3.5375359530894245e-05,1.1451905075519817e-08,0.0077832380944655,9.29517336289498e-06,0.0,0.0,0.0016467218989521767,2.459525193948456e-07,0.013795830681791696,6.342568495928586e-06,0.13119684365372447,0.00024091411971413355,0.36206292742426416,0.0020177409491180078,0.0,0.0
15,Point,39,47,565550,138950,699-49-79,713.995608,3,299-W11-50,2610.871273,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,2768.144062,2.503688469,4,2,20470.93074,2.038442212,3,3,1200.299224,0.844032442,4,3,1108.239775,0.771184911,1,2,407301.3897,3.465136947,1,1,7297.614907,0.786440101,2.8508849451638543e-17,4.2270278446347535e-27,3.047757097721597e-14,3.415767597685498e-16,0.0001396232607029,8.7453760081925e-08,0.0224956272406752,5.758830360651359e-05,0.0,0.0,7.0576312367422595e-16,-9.866212005343077e-50,1.0377206139629278e-12,6.491422941919064e-15,0.0007243435645386,4.888083100699779e-07,0.0882919002608738,0.0002471020043521,0.0,0.0,0.011611323872960402,7.233545151482608e-06,0.06300282978896797,0.00011735079040220055,0.3505575373330247,0.002409260900080246,0.7894088113495297,0.013718387831667444,0.0,0.0
16,Point,39,48,565650,138950,699-49-79,689.612303,3,299-W11-50,2558.006021,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,2612.885244,2.463115055,4,2,20463.23146,2.041428405,3,3,1200.482641,0.843725456,4,3,1108.239775,0.771184911,1,2,387942.0169,3.471754333,1,1,7316.672826,0.784257452,2.006926014403609e-15,9.576757930349901e-18,5.713594925883262e-13,1.100348480770042e-16,0.0012595255079588,3.0815404496631774e-06,0.1067574429760478,0.0010762833808947,0.0,0.0,5.2609402858443634e-14,1.3478118348856183e-16,3.3525905972013173e-14,4.212274663520507e-15,0.0062056906046124,1.6536930976328823e-05,0.3847320975911283,0.0043051212983381,0.0,0.0,0.056808037435958095,0.00019754947110226854,0.18591160243805957,0.0017552092789777493,0.6568552447626234,0.01908644373036231,1.208719688410652,0.0754526904203735,0.0,0.0
17,Point,39,49,565750,138950,699-49-79,679.22053,3,299-W11-50,2508.015311,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2462.664927,2.401273433,4,2,20426.1115,2.046412308,3,3,1199.986049,0.843987295,4,3,1108.239775,0.771184911,1,2,373047.7693,3.471622803,1,1,7350.859488,0.781427015,4.621079645490272e-18,1.450696472684673e-21,1.6830421903169233e-08,1.1408050834175612e-12,0.007454094673138,1.2844134993200443e-05,0.313666526163568,0.0023688943455688,0.0,0.0,3.567623328494709e-20,-1.5839079506668246e-44,1.8727764045094402e-07,-6.700716201448214e-15,0.0352605902609883,6.790651334673771e-05,1.041946031241398,0.0090278512714336,0.0,0.0,0.08862555896793493,0.000138146355597539,0.2951939981270379,0.001428451654722245,0.9962625550196492,0.01879452529129302,1.7350466492625942,0.07597705513253081,0.0,0.0
18,Point,39,50,565850,138950,699-49-79,683.458798,3,299-W11-50,2461.074319,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2322.980446,2.33563539,3,2,20372.02478,2.052383706,3,3,1198.81154,0.845025167,4,3,1108.239775,0.771184911,1,2,363737.9243,3.438305836,1,0,7400.085181,0.777998767,8.900752526160211e-11,9.57512860071964e-22,8.914859713199258e-07,8.209774374460002e-11,0.0264574203833389,1.799548275286029e-05,0.6159024821635014,0.0020021723929877,0.0,0.0,9.189800964505917e-10,2.985250707243609e-20,1.3763400755060698e-05,1.2046625790473644e-09,0.1247862362127278,0.0001004435544213,1.9314153946905248,0.0075452838759369,0.0,0.0,0.21518649989423208,0.0005264477927021903,0.47866853327366,0.002714066873097652,1.3394847690242266,0.01958986032285348,2.1758516246677915,0.06540849391296565,0.0,0.0
19,Point,39,51,565950,138950,699-49-79,702.062197,3,299-W11-50,2417.36071,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2193.628068,2.281504147,3,2,20312.80545,2.058406056,3,3,1197.014171,0.847033659,4,3,1108.239775,0.771184911,1,2,360023.0899,3.400631596,1,0,7464.053538,0.774009817,4.600233442356472e-09,2.571948898164807e-13,1.0155516943441724e-05,1.507391596942418e-09,0.0892307044147264,6.29119360188444e-05,1.0470394483611165,0.0042356699001084,0.0,0.0,5.905366746187912e-08,3.0280837047714818e-12,0.0001548543488466,2.4269207299626543e-08,0.3791243747705552,0.0003562184145456,3.014234141645992,0.0158309557756703,0.0,0.0,0.2617935470313383,0.0006755512091725602,0.5844582409997664,0.003777701480275148,1.5922460651557189,0.02624965005486528,2.416443580536881,0.08639291335354668,0.0,0.0
