FID,Shape,row,col,Easting,Northing,MW_nearest,MW_Distance_m,Smw_fscore,EW_Nearest,EW_Distance_m,Sew_fscore,cr_nearest_di_m,cr_dist_cl_m,cr_comb_dist_m,cr_poly_count,cr_raw_score,cr_Spcs_fscore,tec99_nearest_di_m,tec99_dist_cl_m,tec99_comb_dist_m,tec99_poly_count,tec99_raw_score,tec99_Spcs_fscore,ctet_nearest_di_m,ctet_dist_cl_m,ctet_comb_dist_m,ctet_poly_count,ctet_raw_score,ctet_Spcs_fscore,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score
1311,Point,54,113,572150,137450,699-46-61B,704.301454,3,299-W5-1,3822.440286,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,3,2696.869353,2.608085248,3,1,20144.76899,1.967387005,1,2,807.4699203,0.828631441,4,3,1108.239775,0.771184911,2,3,489333.7731,3.694858997,2,3,8817.382498,0.826791322,4.259565302482983,1.7668013420250535e-06,1.832174880870436,6.438028129990072e-06,0.9955890573970164,1.557358128663964e-05,0.862630392093545,3.306300929258001e-05,0.0,0.0,0.3958930968059062,5.2321098764963846e-08,1.0196875167483466,9.231333244836104e-07,1.0669557339145943,5.014127579903246e-06,1.3600879444796807,1.7537417002326043e-05,0.0,0.0,1.7166898577009553,5.404107430378907e-07,2.0184995108485357,2.9937008132404414e-06,1.490766690460906,9.324685838968907e-06,0.9276545796597389,2.2172795494210096e-05,0.0,0.0
1312,Point,55,32,564050,137350,299-W9-2,1758.196903,4,299-W11-92,2825.093299,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3905.135211,2.58132217,2,2,19594.74572,2.005559625,3,2,1206.938111,0.83723631,4,3,1108.239775,0.771184911,3,2,616133.9248,3.434274509,2,3,8715.157863,0.830890651,1.7851010498772206e-48,1.067457027728622e-65,-6.00415368395688e-51,8.601814877064975e-48,1.0359236634922811e-24,3.3782784234437677e-46,1.5118416877526318e-22,-1.5460386385838139e-34,0.0,0.0,2.616653755998144e-47,1.9026425897565798e-67,3.214266087824135e-49,3.249999278966317e-47,7.20551589988555e-24,3.0543874294615424e-46,1.0354851954012054e-21,-1.2808084175783448e-33,0.0,0.0,3.4795132659254597e-42,2.5316810832230114e-47,1.2449238508897017e-34,7.954165950791836e-43,2.473943406167322e-22,5.556652332114394e-34,2.1750483585399006e-20,1.184810810850154e-30,0.0,0.0
1313,Point,55,33,564150,137350,299-W9-2,1662.171576,4,299-W11-92,2731.772346,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,3737.108674,2.557052239,2,2,19640.8922,2.014302225,3,2,1195.841732,0.838207267,4,3,1108.239775,0.771184911,3,2,616372.3919,3.448408276,2,3,8595.716566,0.832753911,6.7501463907759396e-43,8.682567588962604e-63,9.45858304599433e-37,1.0528548037784358e-44,5.139582760723284e-23,1.0915656862446481e-43,4.082705996334967e-21,-2.9064291904762787e-32,0.0,0.0,1.1020632249779203e-41,2.9868214501405132e-64,1.5842307774783562e-35,3.4430323895481576e-44,3.566889974645951e-22,1.505103171653217e-43,2.7855296892884516e-20,-2.4443803429539404e-31,0.0,0.0,5.793636990002499e-37,3.8057864614792907e-44,5.397387911465221e-32,6.392509341025657e-40,1.209760583495035e-20,1.2852168269029024e-31,5.86859427817275e-19,1.0970923107743306e-28,0.0,0.0
1314,Point,55,34,564250,137350,299-W9-2,1566.643658,4,299-W11-92,2638.940725,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3477.087758,2.516502505,3,2,19763.38563,2.019503565,2,2,1187.749911,0.836801079,4,3,1108.239775,0.771184911,3,2,616576.773,3.461248189,2,3,8444.352817,0.835005253,3.8235398446642576e-41,4.007387907048935e-60,4.0749531465307964e-34,1.0532787850765e-41,2.3979588961189664e-21,4.853072830605273e-41,1.0654810566906122e-19,-4.077124333169586e-30,0.0,0.0,2.1707833241692207e-39,2.6213408098968814e-61,6.357388771017913e-33,3.16536460992097e-41,1.6596595945549278e-20,6.574700326428198e-41,7.238180207786064e-19,-3.489738577150702e-29,0.0,0.0,2.108270684359508e-33,5.017599150080088e-41,2.365111261249467e-29,3.912699101038017e-37,5.499522647716743e-19,3.794656561064329e-29,1.5065704515151685e-17,1.5552544024722793e-26,0.0,0.0
1315,Point,55,35,564350,137350,299-W9-2,1471.710009,4,299-W11-92,2546.651949,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3163.96402,2.461370899,3,2,19895.13132,2.024816547,2,2,1186.666565,0.832570391,4,3,1108.239775,0.771184911,3,2,617328.0727,3.474054741,1,3,8250.472266,0.837168511,1.3461832407084036e-36,1.0335180877011491e-58,2.4413247042325754e-31,8.18386122312716e-39,1.0518160636409304e-19,1.842210947253432e-38,2.721605764801629e-18,-3.142373736411687e-28,0.0,0.0,4.634354269409451e-36,3.337933417850341e-59,4.150410854711213e-30,2.1161003272448902e-38,7.2548254848430305e-19,2.5759786217943504e-38,1.8393461150502158e-17,-2.7853928226084703e-27,0.0,0.0,5.763791520610843e-30,6.362544034968897e-38,8.943432429776748e-27,1.4871417838989379e-34,2.3255276714085907e-17,1.1433154488571598e-26,3.725514691751155e-16,2.6325233233029695e-24,0.0,0.0
1316,Point,55,36,564450,137350,299-W9-2,1377.493503,4,299-W11-92,2454.96724,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2821.570082,2.392931291,3,2,20022.0655,2.029911353,2,2,1188.244739,0.829820189,4,3,1108.239775,0.771184911,3,3,629456.8069,3.499974554,1,3,7987.808566,0.838272544,7.683691787592705e-33,8.711381676802072e-41,2.203362311448632e-31,4.640191394844737e-36,4.514408003606552e-18,1.4043610102240748e-26,7.368168490686215e-17,1.0134445193637728e-25,0.0,0.0,3.4561152953749893e-32,1.3200214942173836e-58,3.6989386717602782e-31,8.52876123477517e-36,3.100539383475149e-17,1.1241311478937556e-25,4.948757730619137e-16,7.6282374338546175e-25,0.0,0.0,8.668166755753031e-27,5.52490652874739e-35,2.8593168031535803e-24,2.02491392377561e-32,9.501614439422046e-16,3.081737061956745e-24,9.566548661024579e-15,4.299631505369321e-22,0.0,0.0
1317,Point,55,37,564550,137350,299-W9-2,1284.151996,4,299-W11-92,2363.956884,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2519.476897,2.325101697,3,2,20139.77583,2.03461498,3,2,1189.523254,0.828684204,4,3,1108.239775,0.771184911,3,3,655993.6271,3.539900612,1,3,7683.73128,0.838395379,1.5404832863871285e-29,1.971078862520229e-37,1.4054890236066394e-26,1.587798674215344e-33,1.9075187703216434e-16,7.2330671762759e-24,2.2061544538364745e-15,6.396151073659862e-22,0.0,0.0,6.238418119651226e-29,8.387603493239755e-56,1.6988893503676677e-25,2.262221525612804e-33,1.303339566152874e-15,6.03215808111389e-23,1.471014602656874e-14,5.191997960558257e-21,0.0,0.0,7.447800470194212e-24,3.2281472844290644e-32,8.634170478021722e-22,2.0426775631321505e-30,3.7580209666050865e-14,7.004450330824616e-22,2.632578690189404e-13,6.291572959619485e-20,0.0,0.0
1318,Point,55,38,564650,137350,299-W9-2,1191.891081,4,299-W11-92,2273.70186,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2481.927123,2.325163311,3,2,20248.71827,2.03895045,3,2,1189.296699,0.82941939,4,3,1108.239775,0.771184911,3,3,697331.4621,3.591181259,1,3,7355.583858,0.837642858,1.815011020192847e-26,2.9865888462512844e-34,2.287506986454821e-24,2.7554051706857976e-31,8.048941287089527e-15,1.822737363599134e-21,7.917092822512033e-14,1.5914343492863394e-19,0.0,0.0,7.09125590931019e-26,3.5595998367611433e-34,3.0827975563373313e-24,4.921634474244871e-31,5.4651359775903336e-14,1.5219564247568342e-20,5.234355641614989e-13,1.2629469722397242e-18,0.0,0.0,3.348329760925224e-21,9.559095564181075e-31,1.641997764761512e-19,1.9533643688085714e-29,1.4473126727953037e-12,1.2847658149186576e-19,8.219217836520736e-12,7.938334683122332e-18,0.0,0.0
1319,Point,55,39,564750,137350,299-W9-2,1100.982447,4,299-W11-92,2184.295801,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2435.295716,2.325025523,3,2,20338.90966,2.043800553,2,2,1181.827936,0.832710757,4,3,1108.239775,0.771184911,3,3,763478.6974,3.656844165,0,3,7001.993884,0.836225084,1.3724604898113476e-23,5.560119354602885e-31,1.1322043396793045e-21,4.1484150176821876e-29,3.261445379479602e-13,3.137328547674496e-19,3.173624540802435e-12,2.3645046716751933e-17,0.0,0.0,5.271766383487612e-23,2.8485509212958572e-30,4.694186108333595e-21,1.8695164260132885e-28,2.197923525324478e-12,2.5998939071279828e-18,2.0730443971272958e-11,1.8369954154888568e-16,0.0,0.0,7.008949173447638e-19,8.746230440713604e-29,2.0490267621707928e-17,9.143310262926415e-25,5.195741666930339e-11,1.8300298705248757e-17,2.6838310470304054e-10,8.3202824441165e-16,0.0,0.0
1320,Point,55,40,564850,137350,299-W9-2,1011.790665,4,299-W11-92,2095.847358,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2380.508461,2.324544106,3,2,20289.60593,2.060273957,2,2,1167.120137,0.836821904,4,3,1108.239775,0.771184911,3,3,861632.1738,3.732129288,0,3,6653.697152,0.835102338,6.75153795216666e-21,5.8515603251580565e-28,2.4901592471507244e-19,1.6833601371918874e-26,1.4893352294501662e-11,3.844776408717665e-17,1.3949885678113694e-10,2.537021199139044e-15,0.0,0.0,2.554285156463123e-20,3.387807313255893e-27,9.06931112542236e-19,4.036575428224937e-25,9.454699445856088e-11,3.146477006125463e-16,8.535087917607199e-10,1.9214921392905413e-14,0.0,0.0,1.7261252394790918e-16,2.7660923343949255e-24,3.2773559401696686e-15,2.204902149189524e-22,1.6519448199685375e-09,1.9428529997487185e-15,8.132500609858215e-09,6.88434470722783e-14,0.0,0.0
1321,Point,55,41,564950,137350,299-W9-2,924.812602,4,299-W11-92,2008.483046,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2318.752132,2.32361126,3,3,19956.71113,2.099415707,2,3,1143.744879,0.84026352,4,3,1108.239775,0.771184911,3,3,994470.7891,3.816108106,0,3,6324.751974,0.835763637,4.8690364275834594e-18,6.0945015941921986e-34,1.2398380023986152e-16,3.737088253339108e-23,1.779290948247255e-09,3.289869975251592e-15,2.2255308118652185e-08,1.938365744621525e-13,0.0,0.0,1.6487454247757078e-17,2.8585779574951157e-35,3.5512176133388113e-16,4.892464106915913e-22,1.1176294079852064e-08,2.6486680006893212e-14,1.3115610180760873e-07,1.4250564253468859e-12,0.0,0.0,3.200877452651193e-14,1.0553956369601603e-22,1.3913052733712076e-12,9.098806882336339e-20,1.3033736926872822e-07,1.4616196352791429e-13,7.123473247771753e-07,4.179802864699296e-12,0.0,0.0
1322,Point,55,42,565050,137350,299-W9-2,840.7356,4,299-W11-92,1922.350683,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2249.631803,2.325607003,2,3,19283.77225,2.163950846,2,3,1111.11211,0.842811924,4,3,1108.239775,0.771184911,3,4,1161503.226,3.912022094,0,3,6010.689419,0.83854617,2.7826993202933468e-15,4.535725834290545e-31,4.9400567005768935e-14,1.866856744435358e-20,1.1670826946033729e-07,1.9164153388966546e-13,1.7232723532460568e-06,1.0118433942891102e-11,0.0,0.0,9.549282733307436e-15,1.942811064306208e-31,1.4936473159631878e-13,2.0900421911799012e-19,7.222494458595575e-07,1.5117775591039202e-12,9.76603138190702e-06,7.187488370999091e-11,0.0,0.0,9.537722042908862e-12,9.722216603648659e-20,5.359788780011097e-10,4.686996853616045e-17,7.038311631857206e-06,7.42243454733922e-12,3.761548896789602e-05,1.7316120314678817e-10,0.0,0.0
1323,Point,55,43,565150,137350,299-W9-2,760.522419,3,299-W11-92,1837.623506,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2148.611626,2.330790156,1,3,18363.01269,2.259386107,2,3,1069.607576,0.844169187,4,3,1108.239775,0.771184911,4,4,1357035.84,4.012333067,0,3,5710.867842,0.843130612,7.459845916645383e-13,3.900046485370408e-28,9.731756903836092e-12,4.4142194700474164e-18,4.305647152449816e-06,7.982785467155936e-12,6.65647771739376e-05,3.7159652687056154e-10,0.0,0.0,2.6661082809447448e-12,9.257633640115674e-28,3.2623426393899116e-11,4.9627226207698035e-17,2.613113190264389e-05,6.145175638773557e-11,0.0003615172180911,2.539086886249134e-09,0.0,0.0,2.8310414235287226e-09,5.823588923851956e-17,1.0682707918343387e-07,1.3962508298331767e-14,0.00020517870080108056,2.6463341519054396e-10,0.0010055722083302605,4.9781757374455926e-09,0.0,0.0
1324,Point,55,44,565250,137350,299-W9-2,685.530707,3,299-W11-92,1754.505101,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1954.321515,2.339624797,1,3,17222.09158,2.391324066,2,3,1019.57751,0.84405585,4,3,1108.239775,0.771184911,4,4,1583722.556,4.072409707,0,3,5425.86812,0.849231264,1.1591894187298944e-10,8.814785276750758e-25,1.1655069265281472e-09,6.763097475633564e-16,0.0001103071624694,2.429999479482008e-10,0.0015671339510726,9.618078289619e-09,0.0,0.0,4.4162882659858805e-10,3.058256812379867e-24,4.4046706984017825e-09,7.808072669705793e-15,0.0006522502323838,1.816719398941547e-09,0.0081146467079808,6.29325403530227e-08,0.0,0.0,5.937244159391649e-07,2.2349936810472548e-14,1.1742823175833894e-05,2.7751272209348016e-12,0.004051945277053303,6.9228919016340825e-09,0.01693108175464933,1.0235105656563311e-07,0.0,0.0
1325,Point,55,45,565350,137350,299-W9-2,617.665241,3,299-W11-92,1673.235234,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1837.128785,2.419125484,1,3,15890.73636,2.566425399,1,3,960.6871214,0.842124964,4,3,1108.239775,0.771184911,4,4,1898018.111,3.863526028,0,3,5138.540124,0.856027548,1.0988697302776128e-08,1.815847570055706e-21,9.587617911045857e-08,7.330742224526362e-14,0.0019404146188901,5.6290228090600705e-09,0.0222250662255658,1.8303766868565534e-07,0.0,0.0,4.562245471284438e-08,7.900626449634333e-21,5.002135123008444e-07,8.667702431423038e-13,0.0110846559725762,4.0621466605518086e-08,0.108877904729408,1.1403982653096e-06,0.0,0.0,7.925230352787175e-05,5.961139855149819e-12,0.0007401248989228806,3.8337449884182056e-10,0.053679334531249435,1.4091093632223308e-07,0.17418581287236123,1.5768600404915745e-06,0.0,0.0
1326,Point,55,46,565450,137350,299-W9-2,559.525111,2,299-W11-92,1594.096656,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,1931.549738,2.588493992,0,4,14416.30272,2.746627982,1,2,888.8814955,0.837117271,4,3,1108.239775,0.771184911,4,3,2215181.728,3.674029706,0,3,4821.411007,0.861986241,6.349969421055723e-07,2.406258759073591e-18,5.580395198342689e-06,5.780454017208695e-12,0.0231139306275068,1.0089503751828529e-07,0.1906371208621141,2.591294786041325e-06,0.0,0.0,2.947772873036555e-06,1.2908723622064977e-17,3.5080832642472816e-05,6.921061298556704e-11,0.1262254858202467,6.975264275569031e-07,0.874705328268742,1.527972471761078e-05,0.0,0.0,0.006995708760602324,1.8075590527900608e-09,0.02674795350907554,3.5194550358068905e-08,0.4622656890854764,2.4001189075823993e-06,1.0719937272614601,1.8598304292044416e-05,0.0,0.0
1327,Point,55,47,565550,137350,299-W9-2,514.418458,2,299-W11-92,1517.422864,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,3,2056.848053,2.791024431,0,4,12973.16967,2.938413985,1,2,803.7310846,0.827358079,4,3,1108.239775,0.771184911,4,3,2203282.159,3.696711637,0,3,4489.217247,0.865119998,2.233463049449527e-05,2.870652461237253e-18,0.0002588655971279,3.3872415897239044e-10,0.1869300442064814,1.414815084571216e-06,1.0149716595230542,2.732062491857581e-05,0.0,0.0,0.0001195692705223,2.802496360874019e-18,0.0017575740134923,4.060407019428897e-09,0.9627081495848332,9.294077339121834e-06,4.2984322029411,0.0001516077712399,0.0,0.0,0.35235895092568975,2.449080519528519e-07,0.5339728859949109,1.6649086761907553e-06,2.521656004629259,4.462897616578385e-05,3.956762607535608,0.0001861619447574542,0.25,0.0
1328,Point,55,48,565650,137350,299-W7-16,443.255281,2,299-W11-92,1443.606646,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,4,2154.062511,3.049777802,0,4,11796.24991,3.104466766,1,2,705.8280851,0.810504862,4,3,1108.239775,0.771184911,4,4,1584660.265,4.1535559,0,3,4152.783979,0.863310221,0.0004925419024732,1.264027518375616e-11,0.0079715135744378,1.6010158555014957e-08,1.0039829498542838,1.5097186597770927e-05,3.334511519482918,0.0002124234529767,0.0,0.0,0.0031589891067519,1.240474731261125e-10,0.054155638312059,1.9239065428280618e-07,4.785517067380749,9.365930732117536e-05,12.69974227887016,0.0011008588975469,0.0,0.0,6.929151163011987,5.916761967123585e-05,5.395839147401878,-5.2815242948809625e-05,8.047625818523136,0.001546553446598912,8.414206743182657,0.0027171805887280724,2.5,0.0
1329,Point,55,49,565750,137350,299-W7-16,345.611407,1,299-W11-50,1353.288145,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,4,2194.467173,3.387741099,0,4,10973.53048,3.20217658,0,1,595.361068,0.782876667,4,3,1108.239775,0.771184911,3,4,728272.5736,4.968396084,0,3,3824.770086,0.856086448,0.0071119045544094,1.4435793396423482e-08,0.1424067040476213,6.814261240950826e-07,3.569398368042257,0.0001316716436639,7.074200922725935,0.0012873831876108,0.0,0.0,0.0541881132360892,1.677256120583701e-07,0.915928444503028,8.205987708714417e-06,15.22656391781378,0.0007806842911068,22.78018680178179,0.0062016225299338,0.0,0.0,21.486408329476074,0.044255039587137224,15.632523602728163,0.07655808418213582,14.123368648794456,0.12468887002318166,12.270512753594689,0.17793443948247906,2.5,0.0
1330,Point,55,50,565850,137350,299-W7-16,249.838437,1,299-W11-50,1264.173565,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,4,2105.00449,3.778549516,0,4,10555.52263,3.090747827,0,1,468.9540742,0.736754078,4,3,1108.239775,0.771184911,0,1,97441.58729,3.235763194,0,3,3515.636853,0.843781984,0.1070533461280258,1.7967863019852118e-06,1.4454321631819105,2.373443551984993e-05,8.086584820336844,0.0010554612152509,9.200370404394606,0.0066353305508873,0.0,0.0,0.7641064772382133,2.3169447200028817e-05,8.159421702064828,0.0002916308454095,28.459100776569,0.0064831148165817,28.44047805272545,0.0317064525099987,0.0,0.0,29.435201043833015,0.06496497324279865,23.102021819255647,0.11464426212025235,18.66965447574018,0.1853669766991129,7.952538545620835,0.2676174745042351,2.5,0.0
1331,Point,55,51,565950,137350,299-W7-16,159.346304,0,299-W11-50,1176.809586,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,4,1852.593307,4.082795032,0,4,9984.055207,2.933593419,0,0,326.8463908,0.658196316,4,3,1108.239775,0.771184911,0,2,124947.7052,3.397704614,0,3,3238.529123,0.827267774,1.5450370213960598,8.5679296706424e-05,8.567299311912747,0.0009633117889878,10.964840969753164,0.0119923028868948,9.86172889540633,0.0511364012586266,0.0,0.0,16.19023188636353,0.0013079877359719,37.29516720103254,0.0115071060990664,39.713860066196695,0.0852277372119603,25.793835947935907,0.2883174042944397,0.0,0.0,33.51068689360848,0.09993896912325968,21.475347056828248,0.17703030541448211,10.206268973996163,0.276848102003871,2.489818185980651,0.3879683311396551,2.25,0.0
1332,Point,55,52,566050,137350,299-W7-16,91.450776,0,299-W11-50,1091.616601,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,1548.069681,3.944271055,0,4,9123.790625,2.778664107,0,0,204.2426879,0.542507068,0,3,1107.87577,0.771199505,0,3,153281.068,3.539051222,0,2,3006.617631,0.808109158,9.723510131354804,0.0031491050756326,15.37380839401866,0.0320286714689242,14.40134864312061,0.245221874546771,8.863882337947645,0.7568787398718563,0.0,0.0,75.1867187288264,0.0480590836647264,56.04026504398091,0.3186591734897425,42.4873618666491,1.6277128079536138,15.09754052146619,3.8821447821363257,0.0,0.0,18.867924705610246,0.11716764758186084,8.406771414336127,0.20982489097456614,3.248006006117661,0.3266776665304361,0.7775288368511587,0.4411510196963608,1.75,0.0
1333,Point,55,53,566150,137350,299-W7-16,106.467105,0,299-W11-50,1009.144589,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,1465.673938,3.221556776,0,3,8112.430254,2.60528755,0,0,146.3100249,0.463673113,0,3,1101.467957,0.771445934,0,3,133808.4374,3.635804972,0,1,2827.094322,0.788322478,7.053483053994431,0.0253418516265228,14.959417645747768,0.1917501662366702,14.950023198421007,0.8868298670954613,9.088323905090745,1.8048771300314888,0.0,0.0,59.910767641699685,0.2165659239158232,59.89353030888422,1.5478042035508344,49.283663262783314,5.066938375370164,15.041242028093585,8.016840994275674,0.0,0.0,41.7472435357244,1.7407583622728013,9.05808250811321,1.5595660290381361,3.416598787024285,1.4097813372665156,0.5945847711917627,1.1792102367411672,2.25,0.0
1334,Point,55,54,566250,137350,299-W7-4,164.17027,0,299-W11-50,930.117628,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,1496.788544,2.513553781,0,3,7087.963388,2.406070832,0,0,134.4074221,0.442658574,0,3,1088.227549,0.771892338,0,3,80571.06447,3.517896019,0,0,2721.358561,0.770937831,4.653436205230671,0.0865763527890112,13.682088592450164,0.6679303791481577,14.330735168436702,2.4961918826599856,9.518035241803547,3.88276556598056,0.0,0.0,52.863420030265935,1.1063156208861151,57.46922133827409,6.293976684896251,54.61325940959184,12.866840117838056,17.272322595948854,13.797369047177453,0.0,0.0,64.60587997316854,2.8201050920381245,12.352459364239326,2.9556349115486498,4.247897079879549,2.8901388609891936,0.5819446611485812,2.215417742370137,2.25,0.0
1335,Point,55,55,566350,137350,299-W7-4,72.09492,0,299-W11-50,855.490972,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1358.268913,1.867947554,0,3,5733.575639,2.186703013,0,0,130.5595447,0.434929781,0,3,1069.767583,0.772374245,0,2,56939.87043,3.306877522,0,0,2713.62933,0.759143703,3.335169782740903,0.0196602418201864,11.956291984397378,0.2187893512490977,13.686510389561793,1.2462944036771784,10.12158164118402,2.798068205293088,0.0,0.0,41.42332496789618,0.2225687255909919,57.726640705926606,2.3162790682045773,56.83717707803535,7.685587420856408,20.808857646802156,11.622240176742736,0.0,0.0,91.58498549123503,3.7129508922412295,19.551033614592175,4.064916246627302,5.383693396789877,4.070013668704351,0.6349384666893358,3.7373530831807424,2.25,2.5
1336,Point,55,56,566450,137350,299-W7-4,58.681151,0,299-W11-50,786.518151,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1244.453487,1.333151901,0,3,5685.176017,2.093249763,0,0,123.940394,0.423572263,0,4,1029.349907,0.774123633,0,1,33858.04145,2.958317974,0,0,2824.429075,0.754961211,2.4439694086167414,0.0025081742603145,10.039839999206173,0.0393526850242092,13.205529149537837,0.3177549517509621,11.029344526201774,1.1576008860359168,0.0,0.0,29.20725535197988,0.0243762618231452,57.23782794751288,0.4373500745850822,57.33467501541612,2.364604831185893,26.63205590614425,5.931922390573472,0.0,0.0,131.76426673741705,6.5667351592420165,31.2041152604844,6.6058544348682355,7.262128614854268,6.568694458016552,0.7797658373742381,6.163820483645034,2.25,2.5
1337,Point,55,57,566550,137350,299-W7-4,147.2728,0,299-W11-50,724.815013,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1303.928071,1.071232533,0,2,5818.393389,2.057353316,0,0,121.096162,0.419236645,0,4,952.6037829,0.77614079,0,0,1488.580243,0.788003553,0,0,3024.260954,0.755272077,1.7463035560597848,0.0004561851246892,8.102109409076165,0.0084470543888479,12.800094293073682,0.073679126392211,11.375149963969472,0.3963993957479967,0.0,0.0,18.76886943212934,0.0033587519965118,54.6198088650649,0.0870024102971485,56.748013750079394,0.6177754626580253,35.601783099963306,2.3774315582846235,0.0,0.0,181.93598415905433,8.216493515719227,47.27457339772227,8.428845857108664,13.811819120872428,8.430571372562634,2.4897084767304496,8.27097305862213,2.25,2.5
