FID,Shape,row,col,Easting,Northing,Smw_fscore,Sew_fscore,cr_Spcs_fscore,tec99_Spcs_fscore,ctet_Spcs_fscore,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
0,Point,39,32,564050,138950,4,0,0.0,0,0,3,3.0,2,1.0,3,2.0,4,3.0,3,2.0,2,1.0
1,Point,39,33,564150,138950,4,0,0.0,0,0,3,2.0,2,1.0,3,2.0,4,3.0,3,2.0,2,1.0
2,Point,39,34,564250,138950,4,0,0.0,0,0,3,2.0,2,1.0,3,2.0,4,3.0,3,2.0,2,1.0
3,Point,39,35,564350,138950,4,0,0.0,0,0,3,2.0,2,1.0,3,2.0,4,3.0,3,2.0,2,1.0
4,Point,39,36,564450,138950,4,0,0.0,0,0,3,2.0,2,1.0,3,2.0,4,3.0,3,2.0,2,1.0
5,Point,39,37,564550,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,2.0,4,3.0,3,2.0,2,1.0
6,Point,39,38,564650,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,2.0,4,3.0,3,2.0,2,1.0
7,Point,39,39,564750,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,2.0,4,3.0,2,2.0,1,1.0
8,Point,39,40,564850,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,2.0,4,3.0,2,2.0,1,1.0
9,Point,39,41,564950,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,2.0,4,3.0,2,2.0,1,1.0
10,Point,39,42,565050,138950,4,0,0.0,0,0,3,2.0,3,2.0,3,3.0,4,3.0,2,2.0,1,1.0
11,Point,39,43,565150,138950,4,0,0.0,0,0,2,2.0,3,2.0,3,3.0,4,3.0,2,2.0,1,1.0
12,Point,39,44,565250,138950,4,0,0.0,0,0,2,2.0,3,2.0,3,3.0,4,3.0,2,2.0,1,1.0
13,Point,39,45,565350,138950,3,0,0.0,0,0,2,2.0,4,2.0,3,3.0,4,3.0,1,2.0,1,1.0
14,Point,39,46,565450,138950,3,0,0.0,0,0,2,2.0,4,2.0,3,3.0,4,3.0,1,2.0,1,1.0
15,Point,39,47,565550,138950,3,0,0.0,0,0,2,2.0,4,2.0,3,3.0,4,3.0,1,2.0,1,1.0
16,Point,39,48,565650,138950,3,0,0.0,0,0,2,2.0,4,2.0,3,3.0,4,3.0,1,2.0,1,1.0
17,Point,39,49,565750,138950,3,0,0.0,0,0,2,1.0,4,2.0,3,3.0,4,3.0,1,2.0,1,1.0
18,Point,39,50,565850,138950,3,0,0.0,0,0,1,1.0,3,2.0,3,3.0,4,3.0,1,2.0,1,0.0
19,Point,39,51,565950,138950,3,0,0.0,0,0,1,1.0,3,2.0,3,3.0,4,3.0,1,2.0,1,0.0
20,Point,39,52,566050,138950,3,0,0.0,0,0,1,1.0,3,2.0,3,3.0,4,3.0,1,2.0,1,0.0
21,Point,39,53,566150,138950,3,0,0.0,0,0,1,1.0,3,2.0,3,3.0,4,3.0,1,2.0,1,0.0
22,Point,39,54,566250,138950,3,0,0.0,0,0,1,1.0,3,2.0,3,3.0,4,3.0,1,2.0,1,0.0
23,Point,39,55,566350,138950,3,0,0.0,0,0,1,1.0,3,2.0,2,3.0,4,3.0,1,3.0,1,0.0
24,Point,39,56,566450,138950,2,0,0.0,0,0,1,1.0,3,2.0,2,3.0,4,3.0,1,3.0,1,0.0
25,Point,39,57,566550,138950,2,0,0.0,0,0,1,1.0,3,2.0,2,2.0,4,3.0,1,3.0,1,0.0
26,Point,39,58,566650,138950,1,0,0.0,0,0,1,1.0,3,2.0,3,2.0,4,3.0,0,4.0,1,0.0
27,Point,39,59,566750,138950,1,0,0.0,0,0,0,1.0,3,2.0,3,2.0,4,3.0,0,4.0,1,0.0
28,Point,39,60,566850,138950,0,0,0.0,0,0,0,1.0,4,2.0,3,2.0,4,3.0,0,4.0,1,0.0
29,Point,39,61,566950,138950,0,0,0.0,0,0,0,1.0,3,2.0,3,2.0,4,3.0,0,4.0,1,0.0
30,Point,39,62,567050,138950,0,0,0.0,0,0,0,1.0,3,2.0,3,1.0,4,3.0,0,4.0,1,0.0
31,Point,39,63,567150,138950,0,0,0.0,0,0,0,1.0,3,2.0,3,1.0,4,3.0,0,4.0,1,0.0
32,Point,39,64,567250,138950,1,0,0.0,0,0,1,1.0,3,2.0,3,1.0,4,3.0,0,4.0,1,0.0
33,Point,39,65,567350,138950,1,0,0.0,0,0,1,2.0,3,2.0,3,1.0,4,3.0,1,4.0,1,0.0
34,Point,39,66,567450,138950,1,0,0.0,0,0,2,2.0,3,2.0,3,1.0,4,3.0,1,3.0,1,0.0
35,Point,39,67,567550,138950,1,0,0.0,0,0,3,2.0,3,2.0,2,1.0,4,3.0,1,3.0,1,0.0
36,Point,39,68,567650,138950,2,0,0.0,0,0,3,2.0,3,1.0,2,1.0,4,3.0,1,3.0,1,0.0
37,Point,39,69,567750,138950,2,0,0.0,0,0,3,1.0,3,1.0,2,0.0,4,3.0,2,2.0,1,0.0
