,row_left,column,delx,dely,area,node,newnode,noflow,pinched,Unnamed: 0,row_right,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING_left,EASTING_left,FID_left,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s,uumu_s_tot_cs,uumu_s_tot_mik,uumu_s_tot_cov,uumu_s_tot_excee,lucr_s_tot_cs,lucr_s_tot_mik,lucr_s_tot_cov,lucr_s_tot_excee,uumu_s_grandtotal,lucr_s_grandtotal,hcr_uumu_persis_s,hcr_lucr_persis_s,tec_uumu_persis_s,tec_lucr_persis_s,ctet_uumu_persis_s,ctet_lucr_persis_s,uumu_s_grandtotal_percentile,lucr_s_grandtotal_percentile,index_right,FID_right,NAME,EASTING_right,NORTHING_right,GWIA,HSU,TYPE_scripts,OU,INCLUDED
17597,65,62,100.0,100.0,10000.0,1,1,0,0,2162,65,62,567050.0,136350.0,10650062,0,2,2,0,1,0,0,136350.0,567050.0,2162,3,0,0,0,0,0,4,4,4,0,1.0,0.0,1.0,0,2.5,2.5,0,3.0,7.5,4.5,4.0,11.0,7.0,5.0,1,7,0,4.5,1,4,7.0,2.5,14.5,16.5,2.0,1.0,1.0,0,2.5,2.5,58.37711069418387,51.228893058161354,7,7,299-W14-16,567001.334,136318.482,200-ZP,UU/MU,MONITORING,ZP-1,True
17870,66,61,100.0,100.0,10000.0,1,1,0,0,2243,66,61,566950.0,136250.0,10660061,0,3,2,0,0,2,0,136250.0,566950.0,2243,2,0,0,0,0,0,4,4,4,0,0.0,0.0,1.0,0,2.5,2.5,0,3.0,7.5,4.5,3.0,10.0,10.0,7.0,2,6,0,3.5,2,4,7.0,2.5,14.5,17.5,0.0,0.0,3.0,2,2.5,2.5,58.37711069418387,58.864915572232654,18,18,299-W14-13,566902.0,136282.0,200-ZP,UU/MU,MONITORING,ZP-1,True
18143,67,60,100.0,100.0,10000.0,1,1,0,0,2324,67,60,566850.0,136150.0,10670060,0,2,2,0,0,0,0,136150.0,566850.0,2324,1,0,0,0,0,0,0,4,4,0,0.0,0.0,0.0,0,2.25,0.25,0,1.0,5.25,2.25,2.0,6.0,6.0,3.0,0,5,0,2.25,0,0,5.0,0.25,9.25,7.25,0.0,0.0,0.0,0,2.25,0.25,20.32833020637899,5.206378986866792,0,0,299-W14-14,566898.386,136181.048,200-ZP,UU/MU,MONITORING,ZP-1,True
18985,70,80,100.0,100.0,10000.0,1,1,0,0,2590,70,80,568850.0,135850.0,10700080,0,0,0,0,0,0,0,135850.0,568850.0,2590,3,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0,5.5,2.5,0.0,3.0,0.0,5.0,0,3,0,2.5,0,4,4.0,2.5,5.5,10.5,0.0,0.0,0.0,0,2.5,2.5,6.5572232645403385,11.744840525328332,10,10,299-W13-2P,568832.59,135819.18,200-UP,UU/MU,MONITORING,ZP-1,True
19510,72,57,100.0,100.0,10000.0,1,1,0,0,2731,72,57,566550.0,135650.0,10720057,0,0,1,0,0,0,0,135650.0,566550.0,2731,0,2,0,4,0,0,0,4,0,0,0.0,0.0,0.0,0,2.25,0.0,0,0.0,4.25,5.0,0.0,5.0,0.0,1.0,0,0,2,2.25,0,0,8.0,0.0,4.25,9.0,0.0,0.0,0.0,0,2.25,0.0,3.8461538461538467,8.51782363977486,9,9,299-W15-42,566582.0,135627.0,200-ZP,UU/MU,MONITORING,ZP-1,True
21162,78,65,100.0,100.0,10000.0,1,1,0,0,3231,78,65,567350.0,135050.0,10780065,0,2,3,0,0,0,0,135050.0,567350.0,3231,0,0,4,0,0,0,0,4,3,0,0.0,0.0,0.0,0,2.5,0.0,1,3.0,4.5,7.0,2.0,7.0,5.0,7.0,0,3,0,2.5,0,5,7.0,0.0,7.5,15.0,0.0,0.0,0.0,0,2.5,0.0,12.598499061913698,37.91744840525329,28,28,299-W19-18,567361.0,135012.0,200-UP,UU/MU,MONITORING,ZP-1,True
21165,78,68,100.0,100.0,10000.0,1,1,0,0,3234,78,68,567650.0,135050.0,10780068,0,4,2,0,0,0,0,135050.0,567650.0,3234,1,0,4,0,0,0,0,3,4,0,0.0,0.0,1.75,0,2.5,0.0,3,3.0,7.5,6.0,4.0,5.0,9.75,8.0,0,5,0,4.25,0,7,6.0,0.0,13.25,15.0,0.0,0.0,1.75,0,2.5,0.0,49.13696060037524,37.91744840525329,17,17,299-W19-43,567699.15,135004.02,200-UP,UU/MU,MONITORING,UP-1,False
21165,78,68,100.0,100.0,10000.0,1,1,0,0,3234,78,68,567650.0,135050.0,10780068,0,4,2,0,0,0,0,135050.0,567650.0,3234,1,0,4,0,0,0,0,3,4,0,0.0,0.0,1.75,0,2.5,0.0,3,3.0,7.5,6.0,4.0,5.0,9.75,8.0,0,5,0,4.25,0,7,6.0,0.0,13.25,15.0,0.0,0.0,1.75,0,2.5,0.0,49.13696060037524,37.91744840525329,16,16,299-W19-36,567634.738,135017.052,200-UP,UU/MU,MONITORING,ZP-1,True
21423,79,52,100.0,100.0,10000.0,1,1,0,0,3300,79,52,566050.0,134950.0,10790052,0,0,0,0,0,0,0,134950.0,566050.0,3300,0,4,0,4,0,0,4,3,3,4,0.0,0.0,0.0,0,1.75,0.0,0,0.0,5.75,4.0,0.0,7.0,7.0,0.0,0,3,8,1.75,0,4,7.0,0.0,12.75,11.0,0.0,0.0,0.0,0,1.75,0.0,44.727954971857415,12.964352720450282,20,20,299-W18-21,566097.7,134978.692,200-UP,UU/MU,MONITORING,ZP-1,True
21454,79,83,100.0,100.0,10000.0,1,1,0,0,3331,79,83,569150.0,134950.0,10790083,0,0,1,0,0,0,0,134950.0,569150.0,3331,0,0,0,1,2,3,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,0,0.0,2.5,2.0,5.0,8.0,0.0,1.0,0,2,3,2.5,0,4,4.0,0.0,7.5,9.0,0.0,0.0,0.0,0,2.5,0.0,12.598499061913698,8.51782363977486,5,5,699-38-68A,569180.0,134932.0,200-UP,UU/MU,MONITORING,ZP-1,True
21454,79,83,100.0,100.0,10000.0,1,1,0,0,3331,79,83,569150.0,134950.0,10790083,0,0,1,0,0,0,0,134950.0,569150.0,3331,0,0,0,1,2,3,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,0,0.0,2.5,2.0,5.0,8.0,0.0,1.0,0,2,3,2.5,0,4,4.0,0.0,7.5,9.0,0.0,0.0,0.0,0,2.5,0.0,12.598499061913698,8.51782363977486,21,21,699-38-68A,569180.0,134932.0,200-UP,UU/MU,MONITORING,ZP-1/UP-1 Potentially Remove,False
22802,84,61,100.0,100.0,10000.0,1,1,0,0,3719,84,61,566950.0,134450.0,10840061,0,4,3,0,1,0,0,134450.0,566950.0,3719,0,0,0,3,4,2,0,4,4,0,1.0,0.0,0.0,0,2.5,0.0,0,3.0,6.5,6.0,12.0,8.0,8.0,6.0,1,8,2,3.5,1,0,10.0,0.0,18.5,14.0,2.0,1.0,0.0,0,2.5,0.0,86.36960600375235,29.57786116322702,26,26,299-W22-44,566956.0,134484.0,200-UP,UU/MU,MONITORING,UP-1,False
23091,85,76,100.0,100.0,10000.0,1,1,0,0,3816,85,76,568450.0,134350.0,10850076,0,0,4,0,0,0,0,134350.0,568450.0,3816,0,3,1,0,1,3,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,0.0,5.5,5.0,4.0,11.0,0.0,8.0,0,1,6,2.5,0,9,3.0,0.0,9.5,16.0,0.0,0.0,0.0,0,2.5,0.0,21.84803001876173,46.87617260787993,19,19,699-36-70A,568466.679,134308.839,200-UP,UU/MU,MONITORING,ZP-1,True
23350,86,61,100.0,100.0,10000.0,1,1,0,0,3883,86,61,566950.0,134250.0,10860061,0,2,2,0,0,2,0,134250.0,566950.0,3883,0,0,0,3,1,4,0,4,4,0,1.0,0.0,1.0,0,2.5,0.0,1,3.0,4.5,5.0,8.0,6.0,9.0,8.0,2,5,4,4.5,2,1,10.0,0.0,17.5,15.0,1.0,0.0,3.0,2,2.5,0.0,80.2251407129456,37.91744840525329,25,25,299-W22-49,566904.0,134202.0,200-UP,UU/MU,MONITORING,UP-1,False
23350,86,61,100.0,100.0,10000.0,1,1,0,0,3883,86,61,566950.0,134250.0,10860061,0,2,2,0,0,2,0,134250.0,566950.0,3883,0,0,0,3,1,4,0,4,4,0,1.0,0.0,1.0,0,2.5,0.0,1,3.0,4.5,5.0,8.0,6.0,9.0,8.0,2,5,4,4.5,2,1,10.0,0.0,17.5,15.0,1.0,0.0,3.0,2,2.5,0.0,80.2251407129456,37.91744840525329,23,23,299-W22-45,566945.0,134293.0,200-UP,UU/MU,MONITORING,UP-1,False
23624,87,61,100.0,100.0,10000.0,1,1,0,0,3965,87,61,566950.0,134150.0,10870061,0,4,2,0,1,2,0,134150.0,566950.0,3965,0,0,0,4,3,4,0,4,4,0,0.0,0.0,1.0,0,2.5,0.0,1,3.0,6.5,6.0,12.0,7.0,11.0,8.0,3,7,4,3.5,3,1,11.0,0.0,21.5,17.0,1.0,1.0,3.0,2,2.5,0.0,99.74671669793622,55.281425891181996,22,22,299-W22-50,566904.0,134140.0,200-UP,UU/MU,MONITORING,UP-1,False
23906,88,69,100.0,100.0,10000.0,1,1,0,0,4055,88,69,567750.0,134050.0,10880069,0,0,1,0,0,0,0,134050.0,567750.0,4055,0,0,1,3,0,0,0,3,2,0,0.0,0.0,1.75,0,2.5,0.0,3,3.0,2.5,5.0,0.0,4.0,3.75,7.0,0,2,0,4.25,0,4,9.0,0.0,6.25,14.0,0.0,0.0,1.75,0,2.5,0.0,8.461538461538462,29.57786116322702,24,24,299-W22-9,567740.0,134043.0,200-UP,UU/MU,MONITORING,UP-1,False
23927,88,90,100.0,100.0,10000.0,1,1,0,0,4076,88,90,569850.0,134050.0,10880090,0,0,4,0,0,0,0,134050.0,569850.0,4076,0,4,2,0,0,0,4,3,0,0,1.0,0.0,0.0,0,0.0,0.0,2,0.0,4.0,6.0,1.0,11.0,0.0,6.0,0,0,4,1.0,0,8,3.0,0.0,5.0,15.0,1.0,0.0,0.0,0,0.0,0.0,5.159474671669794,37.91744840525329,6,6,699-35-66A,569857.861,134099.244,200-UP,UU/MU,MONITORING,ZP-1,True
24188,89,77,100.0,100.0,10000.0,1,1,0,0,4145,89,77,568550.0,133950.0,10890077,0,0,4,0,0,0,0,133950.0,568550.0,4145,3,4,2,0,1,2,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,3,0.0,7.0,6.0,3.0,11.0,3.0,7.0,0,6,7,0.0,0,9,3.0,0.0,13.0,16.0,0.0,0.0,0.0,0,0.0,0.0,46.87617260787993,46.87617260787993,27,27,699-35-70,568566.0,133988.0,200-UP,UU/MU,MONITORING,UP-1,False
