NAME,GWIA,easting_m_check,northing_m_check,Final_Assignment,HSU_source,elevation_m,tos_m,bos_m,mos_m,TYPE_scripts
299-W7-3,200-ZP,566292.031,137638.641,LU/CR,SGW-38815,206.451,69.5958,63.195,66.3954,MONITORING
299-W7-4,200-ZP,566408.771,137308.243,UU/MU,SGW-38815,205.018,143.1436,133.9996,138.5716,MONITORING
299-W7-15,200-ZP,566772.11,137635.28,UU/MU,CP-67635,209.84,133.643048,126.02,129.831524,MONITORING
299-W7-16,200-ZP,566085.14,137265.57,UU/MU,CP-67635,209.927,137.0798,129.450656,133.265228,MONITORING
299-W8-1,200-ZP,565749,137647,UU/MU,ECF-200ZP1-22-0098,214.3,142.3,136.1,139.2,MONITORING
299-W9-2,200-ZP,565742.21,136872.84,UU/MU,SGW-38815,223.765,136.991488,126.33568,131.663584,MONITORING
699-17-70,200-UP,568572,128636,-,ECF-200ZP1-22-0098,172.7,Perforated casing 70-130 ft and 130-170 ft,,,MONITORING
699-19-88,200-UP,563131.105,129413.881,UU/MU,SGW-38815,197.405,176,146,161,MONITORING
699-25-70,200-UP,568544.855,131171.718,UU/MU,SGW-38815,192.966,140,59,99,MONITORING
699-25-80,200-UP,565676,131106,-,ECF-200ZP1-22-0098,188.6,Casing and open hole cement grouted in 1988-89,,,MONITORING
699-26-89,200-UP,562778.695,131375.105,UU/MU,SGW-38815,199.716,149,124,136,MONITORING
699-27-68,200-UP,569324.76,131676.43,UU/MU,ECF-200ZP1-22-0098,196.635,131.288928,109.94988,120.619404,MONITORING
699-29-66,200-UP,570053.53,132336.94,UU/MU,ECF-200ZP1-22-0098,206.024,107.082872,100.986872,104.034872,MONITORING
699-30-57,200-PO,572394,132771,UU/MU,ECF-200ZP1-22-0098,211.4,124.5,113.8,119.2,MONITORING
699-30-63,200-UP,570716.9,132674.86,UU/MU,SGW-38815,211.747,128.661568,92.21968,110.440624,MONITORING
699-30-66,200-UP,569990.98,132739.19,LU/CR,SGW-38815,209.703,92.355,89.307,90.831,MONITORING
699-30-70,200-UP,568428.93,132581.66,UU/MU,SGW-38815,198.211,131.155,91.521856,111.338428,MONITORING
699-30-73,200-UP,567781.9,132789.76,UU/MU,SGW-38815,201.275,131.448368,120.554816,126.001592,MONITORING
699-31-68,200-UP,569598,133080.6,UU/MU,SGW-38815,210.423,129.9558,119.284752,124.620276,MONITORING
699-32-59,200-UP,571800.08,133400.32,UU/MU,SGW-38815,217.571,124.963616,94.471424,109.71752,MONITORING
699-32-62,200-UP,571009.564,133215.925,UU/MU,SGW-38815,216.562,105.31,64.162,84.736,MONITORING
699-32-62P,200-UP,571010,133216,LU/CR,ECF-200ZP1-22-0098,216,66.6,63.6,65.1,MONITORING
699-32-64,200-UP,570451.01,133304.04,UU/MU,SGW-38815,214.659,128.574336,95.043288,111.808812,MONITORING
699-32-70B,200-UP,568461.999,133242.245,UU/MU,SGW-38815,204.204,141,104,122,MONITORING
699-32-72A,200-UP,567942.676,133362.612,UU/MU,SGW-38815,204.661,64.453,59.881,62.167,MONITORING
699-32-72B,200-UP,567935,133362,UU/MU,ECF-200ZP1-22-0098,204.4,139,129.7,134.4,MONITORING
699-32-76,200-UP,566683.94,133137.73,UU/MU,SGW-38815,203.969,134.7794,124.1114,129.4454,MONITORING
699-32-77B,200-UP,566402.07,133172.13,UU/MU,CP-67635,199.594,134.705128,127.057696,130.881412,MONITORING
699-33-56,200-PO,572923,133627,UU/MU,ECF-200ZP1-22-0098,219.1,123.1,94.5,108.8,MONITORING
699-33-74,200-UP,567472.65,133552.16,UU/MU,SGW-38815,205.369,134.3506,123.6826,129.0166,MONITORING
699-33-75,200-UP,566907.78,133662.48,UU/MU,SGW-38815,206.604,134.976,124.308,129.642,MONITORING
699-33-76,200-UP,566621.21,133600.43,UU/MU,SGW-38815,203.202,135.5364,124.8684,130.2024,MONITORING
699-34-61,200-UP,571395.863,133809.862,UU/MU,SGW-38815,220.92,128.47416,122.37816,125.42616,MONITORING
699-34-72,200-UP,567859.97,133785.33,UU/MU,SGW-38815,205.269,133.729392,123.058344,128.393868,MONITORING
699-34-88,200-UP,563012,133950,UU/MU,ECF-200ZP1-22-0098,193.5,146,135,140.5,MONITORING
699-35-59,200-UP,571956,134096,UU/MU,ECF-200ZP1-22-0098,221.5,127,114.8,120.9,MONITORING
699-35-66A,200-UP,569857.861,134099.244,UU/MU,SGW-38815,222.452,143.204,128.345,135.7745,MONITORING
699-35-70,200-UP,568566,133988,UU/MU,ECF-200ZP1-22-0098,212.3,141.3,135.2,138.3,MONITORING
699-35-70C,200-UP,568458.619,134298.706,UU/MU,CP-67635,215.308,131.795848,122.639656,127.217752,MONITORING
699-35-78A,200-UP,566063.586,134271.27,UU/MU,SGW-38815,201.969,147.105,131.865,139.485,MONITORING
699-36-61A,200-UP,571395.472,134557.106,UU/MU,SGW-38815,229.031,128.447,120.967208,124.707104,MONITORING
699-36-63B,200-UP,570683.53,134228.69,UU/MU,ECF-200ZP1-22-0098,228.05,138.191912,104.639528,121.41572,MONITORING
699-36-65,200-UP,570034.24,134468.75,UU/MU,ECF-200ZP1-22-0098,224.068,128.644264,121.027312,124.835788,MONITORING
699-36-66B,200-UP,569731,134469,UU/MU,ECF-200ZP1-22-0098,220.5,130.9,120.2,125.5,MONITORING
699-36-70A,200-UP,568466.679,134308.839,UU/MU,SGW-38815,215.227,136.747096,127.523848,132.135472,MONITORING
699-36-70B,200-UP,568427.79,134625.98,UU/MU,SGW-38815,214.492,133.97908,123.317176,128.648128,MONITORING
699-37-66,200-UP,569730.32,134797.15,UU/MU,SGW-38815,221.197,130.494616,119.823568,125.159092,MONITORING
699-37-67,200-UP,569520.26,134957.52,UU/MU,ECF-200ZP1-22-0098,226.153,129.549688,121.94188,125.745784,MONITORING
699-38-61,200-UP,571219.097,134997.282,UU/MU,SGW-38815,227.261,125.42732,119.33132,122.37932,MONITORING
699-38-64B,200-UP,569900.22,135319.93,UU/MU,ECF-200ZP1-22-0098,229.157,139.055072,108.572024,123.813548,MONITORING
699-38-65,200-UP,570090.185,135039.847,UU/MU,SGW-38815,230.709,163.653,126.839256,145.246128,MONITORING
699-38-68A,200-UP,569180,134932,UU/MU,ECF-200ZP1-22-0098,218.2,136.6,127.5,132,MONITORING
699-38-70,200-UP,568501,135089,UU/MU,ECF-200ZP1-22-0098,217.2,139.5,132.4,135.9,MONITORING
699-38-70B,200-UP,568469.1,135331.04,UU/MU,SGW-38815,221.821,97.85884,93.280744,95.569792,MONITORING
699-38-70C,200-UP,569084.11,135325.58,LU/CR,SGW-38815,225.933,105.329736,100.75164,103.040688,MONITORING
699-39-68,200-UP,569077.9,135332.77,UU/MU,SGW-38815,225.86,134.810144,89.090144,111.950144,MONITORING
699-39-79,200-UP,565891,135412,UU/MU,ECF-200ZP1-22-0098,206.1,146.6,134.7,140.7,MONITORING
699-40-62,200-UP,571164.26,135764.42,UU/MU,SGW-38815,228.943,126.835,117.72148,122.27824,MONITORING
699-40-65,200-UP,570057.48,135881.16,UU/MU,SGW-38815,230.335,129.467536,118.79344,124.130488,MONITORING
699-40-70A,200-ZP,567986.853,137401.816,LU/CR,CP-67635,219.466,126.25816,77.477968,101.868064,EXTRACTION
699-43-69,200-ZP,568967.03,136488.48,UU/MU,ECF-200ZP1-22-0098,226.535,104.55404,93.88604,99.22004,MONITORING
699-43-89,200-ZP,562917,136620,UU/MU,ECF-200ZP1-22-0098,197,143.7,121.8,132.7,MONITORING
699-44-64,200-ZP,570390.65,136897.43,UU/MU,ECF-200ZP1-22-0098,222.203,125.8862,115.391936,120.639068,MONITORING
699-44-70B,200-ZP,568670.06,136810.37,LU/CR,ECF-200ZP1-22-0098,224.764,102.770848,96.665704,99.718276,MONITORING
699-44-70C,200-ZP,568659.403,136809.374,UU/MU,CP-67635,224.515,124.119976,118.023976,121.071976,MONITORING
699-45-65,200-ZP,570000.82,137403.78,LU/CR,CP-67635,217.2,110.526096,101.382096,105.954096,MONITORING
699-45-67C,200-ZP,569431.19,137131.75,LU/CR,CP-67635,222.025,105.905344,99.809344,102.857344,MONITORING
699-45-69A,200-ZP,568729,137183,UU/MU,ECF-200ZP1-22-0098,221.8,137.3,125.5,131.9,MONITORING
699-45-69C,200-ZP,568947.12,137233.81,LU/CR,CP-67635,221.673,109.8114,105.2394,107.5254,MONITORING
699-46-61,200-ZP,571431.17,137442.38,UU/MU,SGW-38815,211.175,121.582088,115.394648,118.488368,MONITORING
699-46-61B,200-ZP,571445.857,137435.061,LU/CR,CP-67635,211.34,113.843624,107.744576,110.7941,MONITORING
699-46-70,200-ZP,568697.17,137656.02,LU/CR,CP-67635,217.378,101.554,95.454952,98.504476,MONITORING
699-47-60,200-ZP,571474.38,137968.732,UU/MU,SGW-38815,198.805,127.177,116.99668,122.08684,MONITORING
699-47-80AP,200-ZP,565562,137693,LU/CR,ECF-200ZP1-22-0098,713.5,10.5,3.8,7.2,MONITORING
699-47-80AQ,200-ZP,565562,137693,LU/CR,ECF-200ZP1-22-0098,713.5,64.1,61.1,62.6,MONITORING
699-48-70,200-ZP,568501.64,138200.91,LU/CR,CP-67635,208.248,128.856744,98.373696,113.61522,EXTRACTION
699-48-71,200-ZP,568387.914,138056.941,UU/MU,SGW-38815,210.864,138.0168,125.15424,131.58552,MONITORING
699-48-77C,200-ZP,566468.954,138086.801,UU/MU,SGW-38815,205.864,117.472,111.376,114.424,MONITORING
699-48-77D,200-ZP,566433,138119,UU/MU,ECF-200ZP1-22-0098,205.7,140.3,134.2,137.2,MONITORING
699-48-96,200-ZP,560516.991,138355.269,UU/MU,SGW-38815,245.118,156.726,46.998,101.862,MONITORING
699-49-100C,200-ZP,559303.736,138503.233,UU/MU,ECF-200ZP1-22-0098,242.176,151,142,146,MONITORING
699-49-79,200-ZP,565771.123,138271.108,UU/MU,SGW-38815,210.749,142.169,125.7098,133.9394,MONITORING
699-50-74,200-ZP,567359.52,138646.73,UU/MU,SGW-38815,200.649,132.574968,121.90392,127.239444,MONITORING
699-51-63,200-ZP,570664.4,139148.408,UU/MU,ECF-200ZP1-22-0098,175.302,127.4484,119.5236,123.486,MONITORING
699-51-75,200-ZP,566978.076,138906.286,UU/MU,ECF-200ZP1-22-0098,196.561,83.785,82.261,83.023,MONITORING
699-51-75P,200-ZP,566978.076,138906.286,LU/CR,ECF-200ZP1-22-0098,196.558,83.782,82.258,83.02,MONITORING
699-55-76,200-ZP,566723.421,140225.816,UU/MU,SGW-38815,178.727,136,111,124,MONITORING
