Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W7-3,200-ZP-1,566292,137639,HEIS Database,206.5,69.6,63.2,66.4,HEIS Database,-9999,93.1,62,LU/CR,None,FALSE
299-W8-1,200-ZP-1,565749,137647,HEIS Database,214.3,142.3,136.1,139.2,HEIS Database,77.8,72.8,56.8,UU/MU,None,FALSE
299-W9-2,200-ZP-1,565742,136873,HEIS Database,223.8,137,126.3,131.7,HEIS Database,74.2,59.7,47.5,UU/MU,None,FALSE
699-17-70,200-UP-1,568572,128636,HEIS Database,172.7,151.36,136.12,120.88,Well Log- 699-17_70_NA_[W0022920].pdf,106.1,94.1,90.4,,Perforated casing 70-130 ft and 130-170 ft,TRUE
699-19-88,200-UP-1,563131,129414,HEIS Database,197.4,174.5,159.3,166.9,HEIS Database,-9999,-9999,91.1,UU/MU,None,FALSE
699-25-70,200-UP-1,568545,131172,HEIS Database,192.6,139.2,127.3,133.2,HEIS Database,-9999,-9999,98.8,UU/MU,None,FALSE
699-25-80,200-UP-1,565676,131106,HEIS Database,188.6,,,,Well Log- 699-25-80.pdf,-9999,-9999,155.5,,Casing and open hole cement grouted in 1988 - 89,TRUE
699-26-89,200-UP-1,562779,131375,HEIS Database,199.3,149,133,141,HEIS Database,76.4,-9999,58.2,UU/MU,None,FALSE
699-27-68,200-UP-1,569325,131676,HEIS Database,196.6,119.1,109.9,114.5,HEIS Database,95.2,83.5,41,UU/MU,None,FALSE
699-29-66,200-UP-1,570054,132337,HEIS Database,206,107.1,101,104,HEIS Database,90.2,85.4,19.3,UU/MU,None,FALSE
699-30-57,200-PO-1,572394,132771,HEIS Database,211.4,124.5,113.8,119.2,HEIS Database,86.9,72.8,8.6,UU/MU,None,FALSE
699-30-63,200-UP-1,570717,132675,HEIS Database,211.7,98.3,92.2,95.3,HEIS Database,91.7,79.8,21,UU/MU,None,FALSE
699-30-66,200-UP-1,569991,132739,HEIS Database,209.7,92.4,89.3,90.8,HEIS Database,87.6,86.4,25.5,UU/MU,None,FALSE
699-30-70,200-UP-1,568429,132582,HEIS Database,198.2,100.7,91.5,96.1,HEIS Database,80.2,73.3,27.8,UU/MU,None,FALSE
699-30-73,200-UP-1,567782,132790,HEIS Database,201.3,131.4,120.6,126,HEIS Database,78.6,61.7,28.1,UU/MU,None,FALSE
699-31-68,200-UP-1,569598,133081,HEIS Database,210.4,130,119.3,124.6,HEIS Database,94.7,90.4,29.9,UU/MU,None,FALSE
699-32-59,200-UP-1,571800,133400,HEIS Database,217.6,111.2,94.5,102.9,HEIS Database,94.7,75.6,31.6,UU/MU,None,FALSE
699-32-62,200-UP-1,571010,133216,HEIS Database,216,132.2,125.4,128.8,HEIS Database,94.3,74.4,30.6,UU/MU,None,FALSE
699-32-62P,200-UP-1,571010,133216,HEIS Database,216,66.6,63.6,65.1,HEIS Database,94.3,74.4,30.6,LU/CR,None,FALSE
699-32-64,200-UP-1,570451,133304,HEIS Database,214.7,114.9,95,105,HEIS Database,94.4,81.6,35,UU/MU,None,FALSE
699-32-70B,200-UP-1,568462,133242,HEIS Database,203.8,140.7,128.9,134.8,HEIS Database,82.9,73.7,33.9,UU/MU,None,FALSE
699-32-72A,200-UP-1,567943,133363,HEIS Database,204.1,140,92.3,116.2,HEIS Database,79.3,65,29,UU/MU,None,FALSE
699-32-72B,200-UP-1,567935,133362,HEIS Database,204.4,139,129.7,134.4,HEIS Database,79.2,64.8,29,UU/MU,None,FALSE
699-32-76,200-UP-1,566684,133138,HEIS Database,204,134.8,124.1,129.4,HEIS Database,72.7,43.1,18.8,UU/MU,None,FALSE
699-33-56,200-PO-1,572923,133627,HEIS Database,219.1,123.1,94.5,108.8,HEIS Database,93.3,76.7,35.8,UU/MU,None,FALSE
699-33-74,200-UP-1,567473,133552,HEIS Database,205.4,134.4,123.7,129,HEIS Database,74.7,53.2,26.9,UU/MU,None,FALSE
699-33-75,200-UP-1,566908,133662,HEIS Database,206.6,135,124.3,129.6,HEIS Database,76.5,42.6,23.8,UU/MU,None,FALSE
699-33-76,200-UP-1,566621,133600,HEIS Database,203.2,135.5,124.9,130.2,HEIS Database,74.1,41.7,20.8,UU/MU,None,FALSE
699-34-61,200-UP-1,571396,133810,HEIS Database,220.9,128.5,122.4,125.4,HEIS Database,99,78,41,UU/MU,None,FALSE
699-34-72,200-UP-1,567860,133785,HEIS Database,205.3,133.7,123.1,128.4,HEIS Database,74.6,61.7,29.8,UU/MU,None,FALSE
699-34-88,200-UP-1,563012,133950,HEIS Database,193.5,146,135,140.5,HEIS Database,65,36,-6.6,UU/MU,None,FALSE
699-35-59,200-UP-1,571956,134096,HEIS Database,221.5,127,114.8,120.9,HEIS Database,100.8,80.9,45.9,UU/MU,None,FALSE
699-35-66A,200-UP-1,569858,134099,HEIS Database,221.8,142.5,128,135.3,HEIS Database,100.1,86.3,46.3,UU/MU,None,FALSE
699-35-70,200-UP-1,568566,133988,HEIS Database,212.3,141.3,135.2,138.3,HEIS Database,84.6,75.2,30.6,UU/MU,None,FALSE
699-35-78A,200-UP-1,566064,134271,HEIS Database,202,147.1,131.9,139.5,HEIS Database,74.4,51.2,23.6,UU/MU,None,FALSE
699-36-61A,200-UP-1,571395,134557,HEIS Database,228.6,128,120.5,124.3,HEIS Database,106.6,83.8,59.3,UU/MU,None,FALSE
699-36-63B,200-UP-1,570684,134229,HEIS Database,228.1,113.8,104.6,109.2,HEIS Database,101.5,84.3,51.7,UU/MU,None,FALSE
699-36-65,200-UP-1,570034,134469,HEIS Database,224.1,128.6,121,124.8,HEIS Database,103.3,87.9,54.7,UU/MU,None,FALSE
699-36-66B,200-UP-1,569731,134469,HEIS Database,220.5,130.9,120.2,125.5,HEIS Database,101.4,87.7,51.4,UU/MU,None,FALSE
699-36-70A,200-UP-1,568467,134309,HEIS Database,215.2,136.7,127.5,132.1,HEIS Database,83.2,74.4,34.5,UU/MU,None,FALSE
699-36-70B,200-UP-1,568428,134626,HEIS Database,214.5,134,123.3,128.6,HEIS Database,81.9,75.4,37.8,UU/MU,None,FALSE
699-37-66,200-UP-1,569730,134797,HEIS Database,221.2,130.5,119.8,125.2,HEIS Database,104,90.2,57.5,UU/MU,None,FALSE
699-37-67,200-UP-1,569520,134958,HEIS Database,226.2,129.5,121.9,125.7,HEIS Database,103.3,91.4,56.3,UU/MU,None,FALSE
699-38-61,200-UP-1,571219,134997,HEIS Database,227.3,125.4,119.3,122.4,HEIS Database,109.8,92.3,67.7,UU/MU,None,FALSE
699-38-64B,200-UP-1,569900,135320,HEIS Database,229.2,139.1,108.6,123.8,HEIS Database,110.7,97.9,68.6,UU/MU,None,FALSE
699-38-65,200-UP-1,570090,135040,HEIS Database,230,163,126.2,144.6,HEIS Database,109.1,93,68.2,UU/MU,None,FALSE
699-38-68A,200-UP-1,569180,134932,HEIS Database,218.2,136.6,127.5,132,HEIS Database,97.7,88.5,48.7,UU/MU,None,FALSE
699-38-70,200-UP-1,568501,135089,HEIS Database,217.2,139.5,132.4,135.9,HEIS Database,81.8,80.2,39.3,UU/MU,None,FALSE
699-38-70B,200-UP-1,568469,135331,HEIS Database,221.8,97.9,93.3,95.6,HEIS Database,85.3,82.9,49.3,UU/MU,None,FALSE
699-38-70C,200-UP-1,569084,135326,HEIS Database,225.9,105.3,100.8,103,HEIS Database,100.6,93,54.2,UU/MU,None,FALSE
699-39-68,200-UP-1,569078,135333,HEIS Database,225.9,134.8,89.1,112,HEIS Database,100.6,93.1,54.2,UU/MU,None,FALSE
699-39-79,200-ZP-1,565891,135412,HEIS Database,206.1,146.6,134.7,140.7,HEIS Database,71.5,54.6,34.8,UU/MU,None,FALSE
699-40-62,200-UP-1,571164,135764,HEIS Database,228.9,126.8,117.7,122.2,HEIS Database,115,105.3,78,UU/MU,None,FALSE
699-40-65,200-UP-1,570057,135881,HEIS Database,230.3,129.5,118.8,124.1,HEIS Database,118.6,99.5,74.6,UU/MU,None,FALSE
699-43-89,200-ZP-1,562917,136620,HEIS Database,197,143.7,121.8,132.7,HEIS Database,66.6,50.7,8.6,UU/MU,None,FALSE
699-44-64,200-ZP-1,570391,136897,HEIS Database,221.5,125.2,115.7,120.5,HEIS Database,124.3,119,86.5,UU/MU,None,FALSE
699-44-70B,200-ZP-1,568670,136810,HEIS Database,224.8,102.8,96.7,99.7,HEIS Database,111.6,105.8,69.1,LU/CR,None,FALSE
699-45-69A,200-ZP-1,568729,137183,HEIS Database,221.8,138.3,125.5,131.9,HEIS Database,122.8,116.7,76.2,UU/MU,None,FALSE
699-45-69C,200-ZP-1,568947,137234,HEIS Database,221.7,109.8,105.2,107.5,HEIS Database,120.7,110.8,81.6,LU/CR,None,FALSE
699-46-61,200-ZP-1,571431,137442,HEIS Database,211.2,121.6,115.4,118.5,HEIS Database,-9999,120.9,104.9,UU/MU,None,FALSE
699-47-60,200-ZP-1,571474,137969,HEIS Database,198.8,127.2,116.9,122,HEIS Database,-9999,126.2,111.9,UU/MU,None,FALSE
699-47-80AP,200-ZP-1,565562,137693,HEIS Database,713.5,10.5,3.8,7.2,Well Log- 699-47-80A.pdf,77.1,71.4,54.7,LU/CR,None,FALSE
699-47-80AQ,200-ZP-1,565562,137693,HEIS Database,713.5,64.1,61.1,62.6,Well Log- 699-47-80A.pdf,77.1,71.4,54.7,LU/CR,None,FALSE
699-48-71,200-ZP-1,568388,138057,HEIS Database,210.3,137.5,123.8,130.7,HEIS Database,-9999,106.9,95.5,UU/MU,None,FALSE
699-48-77C,200-ZP-1,566469,138087,HEIS Database,205.9,117.5,111.4,114.4,HEIS Database,-9999,106.9,71.5,UU/MU,None,FALSE
699-48-77D,200-ZP-1,566433,138119,HEIS Database,205.7,140.3,134.2,137.2,HEIS Database,-9999,106.5,71.4,UU/MU,None,FALSE
699-48-96,200-ZP-1,560517,138355,HEIS Database,245.1,53.1,47,50,HEIS Database,73.9,53.6,19.7,LU/CR,None,FALSE
699-49- 100C,200-ZP-1,559304,138503,HEIS Database,241.7,150.3,129.8,140,HEIS Database,-9999,-9999,112.2,UU/MU,None,FALSE
699-49-79,200-ZP-1,565771,138271,HEIS Database,210.7,142.2,130,136.1,HEIS Database,-9999,89.5,57.8,UU/MU,None,FALSE
699-50-74,200-ZP-1,567360,138647,HEIS Database,200.6,132.6,121.9,127.2,HEIS Database,-9999,113.4,89.2,UU/MU,None,FALSE
699-51-63,200-ZP-1,570664,139148,HEIS Database,174.8,126.9,119.5,123.2,HEIS Database,-9999,-9999,120.8,UU/MU,None,FALSE
699-51-75,200-ZP-1,566978,138906,HEIS Database,196,138,128.3,133.2,HEIS Database,-9999,115.6,80.3,UU/MU,None,FALSE
699-51-75P,200-ZP-1,566978,138906,HEIS Database,195.9,83.2,81.6,82.4,HEIS Database,-9999,115.6,80.3,LU/CR,None,FALSE
699-55-76,200-ZP-1,566723,140226,HEIS Database,178.2,135.2,120.4,127.8,HEIS Database,-9999,133.1,108.4,UU/MU,None,FALSE
699-43-69 ,200-ZP-1,568967,136488,HEIS Database,226.5,104.6,93.9,99.2,HEIS Database,114.9,105.7,72.8,UU/MU,None,FALSE
