Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W14-13,200-ZP-1,566902,136282,HEIS Database,204.3,138.3,127.6,133,HEIS Database,81,71.9,56.9,UU/MU,None,FALSE
299-W14-14,200-ZP-1,566898,136181,HEIS Database,204.6,138.5,127.8,133.1,HEIS Database,81.2,70.5,55.5,UU/MU,None,FALSE
299-W14-15,200-ZP-1,566900,136231,HEIS Database,204.6,137.6,127,132.3,HEIS Database,81,71.2,56.2,UU/MU,None,FALSE
299-W14-16,200-ZP-1,567001,136318,HEIS Database,205.4,137.4,126.8,132.1,HEIS Database,79.9,72.5,58.7,UU/MU,None,FALSE
299-W14-17,200-ZP-1,567007,136218,HEIS Database,205.1,137.4,126.8,132.1,HEIS Database,79.9,71.3,57.4,UU/MU,None,FALSE
299-W14-18,200-ZP-1,566897,136344,HEIS Database,204.3,137.8,127.1,132.5,HEIS Database,81.5,72.7,57.5,UU/MU,None,FALSE
299-W14-19,200-ZP-1,566899,136135,HEIS Database,204.9,136.8,126.1,131.4,HEIS Database,81.2,70,54.8,UU/MU,None,FALSE
299-W14-20,200-ZP-1,566909,136284,HEIS Database,204.4,129.8,81,105.4,HEIS Database,81,72,57,UU/MU,None,FALSE
299-W14-21,200-ZP-1,567722,135890,HEIS Database,219.3,124.8,62.3,93.6,HEIS Database,-9999,80.7,58.1,UU/MU,None,FALSE
299-W14-22,200-ZP-1,568325,136117,HEIS Database,223.6,126.4,68.5,97.5,HEIS Database,-9999,98.3,62.7,LU/CR,None,FALSE
299-W14-71,200-UP-1,567733,135568,HEIS Database,218.6,93.5,88.9,91.2,HEIS Database,85.6,76.2,52.5,UU/MU,None,FALSE
299-W14-72,200-ZP-1,567328,135941,HEIS Database,215.7,89.5,84.9,87.2,HEIS Database,83,73.1,55.7,UU/MU,None,FALSE
299-W14-73,200-ZP-1,567359,136205,HEIS Database,216.7,128.1,67.1,97.6,HEIS Database,-9999,70.7,59.1,UU/MU,None,FALSE
299-W14-74,200-ZP-1,567781,136381,HEIS Database,221.4,127,70.6,98.8,HEIS Database,-9999,80.2,63.7,UU/MU,None,FALSE
299-W15-1,200-ZP-1,566554,135943,HEIS Database,206.4,136.1,124,130,HEIS Database,77.9,62.9,48.2,UU/MU,None,FALSE
299-W15-11,200-ZP-1,566412,136001,HEIS Database,207.4,151.6,116.8,134.2,HEIS Database,77.2,61.9,47.5,UU/MU,None,FALSE
299-W15-152,200-ZP-1,566309,135550,HEIS Database,209.4,137.5,126.8,132.1,HEIS Database,73.4,58.6,41,UU/MU,None,FALSE
299-W15-17,200-ZP-1,566307,135719,HEIS Database,209.2,80.5,77.4,78.9,HEIS Database,74.6,59.4,43.1,UU/MU,None,FALSE
299-W15-224,200-ZP-1,566308,135926,HEIS Database,208.3,136.5,125.9,131.2,HEIS Database,76,60.5,45.5,UU/MU,None,FALSE
299-W15-225,200-ZP-1,566657,136109,HEIS Database,204.8,130.2,81.4,105.8,HEIS Database,79.9,65.8,51.5,UU/MU,None,FALSE
299-W15-3,200-ZP-1,566729,136371,HEIS Database,205.2,144.3,133.3,138.8,HEIS Database,81.9,70,55.5,UU/MU,None,FALSE
299-W15-30,200-ZP-1,566305,135749,HEIS Database,209.3,142.8,130.6,136.7,HEIS Database,74.8,59.5,43.5,UU/MU,None,FALSE
299-W15-31A,200-ZP-1,566377,135856,HEIS Database,207.7,142.9,130.7,136.8,HEIS Database,75.9,60.6,45.4,UU/MU,None,FALSE
299-W15-33,200-ZP-1,566433,135967,HEIS Database,206.8,134,126.4,130.2,HEIS Database,77.1,61.9,47.3,UU/MU,None,FALSE
299-W15-34,200-ZP-1,566613,135960,HEIS Database,204.9,140.7,125.5,133.1,HEIS Database,78.5,63.9,49,UU/MU,None,FALSE
299-W15-36,200-ZP-1,566774,135430,HEIS Database,203.9,139.6,124.6,132.1,HEIS Database,73,58.9,42.5,UU/MU,None,FALSE
299-W15-37,200-UP-1,566716,135248,HEIS Database,203,140.3,125.1,132.7,HEIS Database,70.7,58.5,40.2,UU/MU,None,FALSE
299-W15-40,200-ZP-1,566653,136205,HEIS Database,205.1,138.6,127.9,133.3,HEIS Database,80.4,66.6,52.8,UU/MU,None,FALSE
299-W15-42,200-ZP-1,566582,135627,HEIS Database,206.5,137,121.8,129.4,HEIS Database,75.3,59.6,44,UU/MU,None,FALSE
299-W15-43,200-ZP-1,566490,136210,HEIS Database,206.8,137.8,127.1,132.4,HEIS Database,79.4,64.5,50.9,UU/MU,None,FALSE
299-W15-44,200-ZP-1,566685,136066,HEIS Database,204.2,138.3,127.6,132.9,HEIS Database,79.8,65.8,51.3,UU/MU,None,FALSE
299-W15-46,200-ZP-1,566752,135587,HEIS Database,203.5,139.6,115.2,127.4,HEIS Database,75.9,59.7,44.4,UU/MU,None,FALSE
299-W15-47,200-ZP-1,566776,135642,HEIS Database,202.7,136.1,117.8,127,HEIS Database,76.7,61.4,45.1,UU/MU,None,FALSE
299-W15-49,200-ZP-1,566307,135973,HEIS Database,208.4,136.5,125.9,131.2,HEIS Database,76.3,60.7,46.1,UU/MU,None,FALSE
299-W15-50,200-ZP-1,566793,135791,HEIS Database,202.5,128.3,117.6,123,HEIS Database,78.5,64.5,47.7,UU/MU,None,FALSE
299-W15-7,200-ZP-1,566676,135920,HEIS Database,203.4,147.9,109.4,128.7,HEIS Database,78.7,64.3,49,UU/MU,None,FALSE
299-W15-763,200-ZP-1,566809,136029,HEIS Database,202.2,137.6,126.9,132.3,HEIS Database,80.5,67.5,52.1,UU/MU,None,FALSE
299-W15-765,200-ZP-1,566697,136373,HEIS Database,204.5,137.4,126.8,132.1,HEIS Database,81.7,69.5,55.2,UU/MU,None,FALSE
