FID,NAME,EASTING,NORTHING,HSU,Type_scripts
103,299-W22-81,567000.263,134354.189,UU/MU,MONITORING
104,299-W22-82,567004.731,134167.07,UU/MU,MONITORING
105,299-W22-83,567009.082,134092.546,UU/MU,MONITORING
106,299-W22-84,566978.76,134547.62,UU/MU,MONITORING
107,299-W22-85,566902.9,134260.58,UU/MU,MONITORING
108,299-W22-89,566906.77,134031.67,UU/MU,MONITORING
109,299-W22-90,566961.39,134483.24,UU/MU,EXTRACTION
110,299-W22-91,566911.76,134134.53,UU/MU,EXTRACTION
111,299-W22-92,567167.84,134029.77,UU/MU,EXTRACTION
112,299-W22-93,566949.07,134485.98,UU/MU,MONITORING
113,299-W22-94,567009.82,134429.75,UU/MU,MONITORING
114,299-W22-95,567170.54,134549.11,UU/MU,MONITORING
115,299-W22-96,567351.93,134145.58,UU/MU,MONITORING
116,299-W22-113,566904.52,134192.75,UU/MU,MONITORING
117,299-W22-114,567726.31,134048.07,UU/MU,MONITORING
118,299-W22-115,566939.39,134292.43,UU/MU,MONITORING
119,299-W22-116,566900.5,134139.92,UU/MU,MONITORING
120,299-W22-123,567593.02,133914,UU/MU,MONITORING
121,299-W22-125,567028.506,134253.724,UU/MU,MONITORING
122,299-W23-15,566794,134127,UU/MU,MONITORING
123,299-W23-21,566707.737,134293.994,UU/MU,MONITORING
124,299-W23-236,566798.66,134128.15,UU/MU,MONITORING
125,299-W26-15,566575.83,133391.21,UU/MU,MONITORING
126,299-W26-16,566324.31,133233.15,UU/MU,MONITORING
127,299-W27-3,566923.55,133756.88,UU/MU,MONITORING
128,299-W5-1,568329.73,137321.21,UU/MU,EXTRACTION
129,299-W6-11,567163,137635,UU/MU,MONITORING
130,299-W6-12,566916,137635,UU/MU,MONITORING
131,299-W6-15,567781.69,137076.41,UU/MU,EXTRACTION
132,299-W7-4,566408.771,137308.243,UU/MU,MONITORING
133,299-W7-15,566772.11,137635.28,UU/MU,MONITORING
134,299-W7-16,566085.14,137265.57,UU/MU,MONITORING
135,299-W8-1,565749,137647,UU/MU,MONITORING
136,299-W9-2,565742.21,136872.84,UU/MU,MONITORING
137,699-17-70,568572,128636,--,MONITORING
138,699-19-88,563131.105,129413.881,UU/MU,MONITORING
139,699-26-89,562778.695,131375.105,UU/MU,MONITORING
140,699-27-68,569324.76,131676.43,UU/MU,MONITORING
141,699-29-66,570053.53,132336.94,UU/MU,MONITORING
142,699-30-57,572394,132771,UU/MU,MONITORING
143,699-30-63,570716.9,132674.86,UU/MU,MONITORING
144,699-30-70,568428.93,132581.66,UU/MU,MONITORING
145,699-30-73,567781.9,132789.76,UU/MU,MONITORING
146,699-31-68,569598,133080.6,UU/MU,MONITORING
147,699-32-59,571800.08,133400.32,UU/MU,MONITORING
148,699-32-64,570451.01,133304.04,UU/MU,MONITORING
149,699-32-76,566683.94,133137.73,UU/MU,MONITORING
150,699-32-77B,566402.07,133172.13,UU/MU,MONITORING
151,699-33-56,572923,133627,UU/MU,MONITORING
152,699-33-74,567472.65,133552.16,UU/MU,MONITORING
153,699-33-76,566621.21,133600.43,UU/MU,MONITORING
154,699-34-72,567859.97,133785.33,UU/MU,MONITORING
155,699-35-66A,569857.861,134099.244,UU/MU,MONITORING
156,699-35-70,568566,133988,UU/MU,MONITORING
157,699-35-70C,568458.619,134298.706,UU/MU,MONITORING
158,699-36-63B,570683.53,134228.69,UU/MU,MONITORING
159,699-36-65,570034.24,134468.75,UU/MU,MONITORING
160,699-38-64B,569900.22,135319.93,UU/MU,MONITORING
161,699-38-68A,569180,134932,UU/MU,MONITORING
162,699-38-70,568501,135089,UU/MU,MONITORING
163,699-39-68,569077.9,135332.77,UU/MU,MONITORING
164,699-40-70A,567986.853,137401.816,LU/CR,EXTRACTION
165,699-48-70,568501.64,138200.91,LU/CR,EXTRACTION
166,699-48-77D,566433,138119,UU/MU,MONITORING
167,699-48-96,560516.991,138355.269,UU/MU,MONITORING
168,699-49-100C,559303.736,138503.233,UU/MU,MONITORING
169,699-51-75P,566978.076,138906.286,LU/CR,MONITORING
170,699-48-77D,566433,138119,UU/MU,MONITORING
