NAME_norm,Tc99_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W19-128,2027.5,567002.55,135254.98,299-W19-128,UU/MU
299-W19-128,2027.5,567002.55,135254.98,299-W19-128,UU/MU
299-W19-131,62.5,568060.13,135008.14,299-W19-131,UU/MU
299-W19-132,1628.75,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,1628.75,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,1628.75,567646.1,134691.91,299-W19-132,UU/MU
299-W19-132,1628.75,567646.1,134691.91,299-W19-132,UU/MU
299-W19-135,110.93,567601.98,135006.96,299-W19-135,UU/MU
299-W19-135,110.93,567601.98,135006.96,299-W19-135,UU/MU
299-W19-135,110.93,567601.98,135006.96,299-W19-135,UU/MU
299-W19-136,524.0,567703.414,134998.765,299-W19-136,UU/MU
299-W19-136,524.0,567703.414,134998.765,299-W19-136,UU/MU
299-W19-136,524.0,567703.414,134998.765,299-W19-136,UU/MU
299-W19-34A,94.0,567673.637,135012.246,299-W19-34A,UU/MU
299-W19-34B,50.0,567662.876,135010.654,299-W19-34B,UU/MU
299-W19-36,6345.0,567634.738,135017.052,299-W19-36,UU/MU
299-W19-41,359.0,566896.532,135004.51,299-W19-41,UU/MU
299-W19-42,2770.0,566896.812,135122.901,299-W19-42,UU/MU
299-W19-43,1097.0,567699.15,135004.02,299-W19-43,UU/MU
299-W19-44,1102.0,566896.95,135041.97,299-W19-44,UU/MU
299-W19-45,4932.5,566897.65,135087.65,299-W19-45,UU/MU
299-W19-46,424.0,567782.67,134842.46,299-W19-46,UU/MU
299-W19-47,3145.0,566895.31,135161.86,299-W19-47,UU/MU
299-W19-48,520.0,567822.93,134925.99,299-W19-48,UU/MU
299-W19-49,50.0,567568.04,134894.38,299-W19-49,UU/MU
299-W19-6,50.0,567133.33,134693.76,299-W19-6,UU/MU
299-W20-1,691.5,568219.97,135054.03,299-W20-1,UU/MU
299-W21-2,215.0,568124.39,134573.79,299-W21-2,UU/MU
299-W22-113,1985.0,566904.52,134192.75,299-W22-113,UU/MU
299-W22-114,109.0,567726.31,134048.07,299-W22-114,UU/MU
299-W22-115,441.75,566939.39,134292.43,299-W22-115,UU/MU
299-W22-116,13650.0,566900.5,134139.92,299-W22-116,UU/MU
299-W22-123,50.0,567593.02,133914.0,299-W22-123,UU/MU
299-W22-123,50.0,567593.02,133914.0,299-W22-123,UU/MU
299-W22-125,869.0,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,869.0,567028.506,134253.724,299-W22-125,UU/MU
299-W22-125,869.0,567028.506,134253.724,299-W22-125,UU/MU
299-W22-47,24.7,566908.74,134076.28,299-W22-47,UU/MU
299-W22-69,663.0,567179.6,134347.83,299-W22-69,UU/MU
299-W22-72,3390.0,567237.37,134207.08,299-W22-72,UU/MU
299-W22-79,789.0,567629.54,134464.846,299-W22-79,UU/MU
299-W22-80,38.95,566842.851,134125.649,299-W22-80,UU/MU
299-W22-81,119.0,567000.263,134354.189,299-W22-81,UU/MU
299-W22-82,61.8,567004.731,134167.07,299-W22-82,UU/MU
299-W22-83,158.5,567009.082,134092.546,299-W22-83,UU/MU
299-W22-84,102.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-84,102.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-85,397.0,566902.9,134260.58,299-W22-85,UU/MU
299-W22-86,179.0,567186.74,134041.31,299-W22-86,UU/MU
299-W22-87,222.0,567541.75,134539.88,299-W22-87,UU/MU
299-W22-88,276.0,568046.48,134390.53,299-W22-88,UU/MU
299-W22-89,50.0,566906.77,134031.67,299-W22-89,UU/MU
299-W22-93,2345.0,566949.07,134485.98,299-W22-93,UU/MU
299-W22-93,2345.0,566949.07,134485.98,299-W22-93,UU/MU
299-W22-94,66.5,567009.82,134429.75,299-W22-94,UU/MU
299-W22-95,447.0,567170.54,134549.11,299-W22-95,UU/MU
299-W22-96,3850.0,567351.93,134145.58,299-W22-96,UU/MU
299-W23-19,30200.0,566759.115,134166.653,299-W23-19,UU/MU
299-W23-20,49.0,566717.669,134446.189,299-W23-20,UU/MU
299-W23-21,66.4,566707.737,134293.994,299-W23-21,UU/MU
299-W23-236,47.5,566798.66,134128.15,299-W23-236,UU/MU
299-W23-4,207.0,566628.216,134391.881,299-W23-4,UU/MU
299-W26-13,50.0,566424.387,133293.598,299-W26-13,UU/MU
