pw_id,row,col,x,y,outfile
PW-0336,43,39,564750.0,138550.0,data\breakthroughcurves\PW-0336_r0043_c0039.png
PW-0341,43,44,565250.0,138550.0,data\breakthroughcurves\PW-0341_r0043_c0044.png
PW-0346,43,49,565750.0,138550.0,data\breakthroughcurves\PW-0346_r0043_c0049.png
PW-0351,43,54,566250.0,138550.0,data\breakthroughcurves\PW-0351_r0043_c0054.png
PW-0356,43,59,566750.0,138550.0,data\breakthroughcurves\PW-0356_r0043_c0059.png
PW-0361,43,64,567250.0,138550.0,data\breakthroughcurves\PW-0361_r0043_c0064.png
PW-0366,43,69,567750.0,138550.0,data\breakthroughcurves\PW-0366_r0043_c0069.png
PW-0371,43,74,568250.0,138550.0,data\breakthroughcurves\PW-0371_r0043_c0074.png
PW-0376,43,79,568750.0,138550.0,data\breakthroughcurves\PW-0376_r0043_c0079.png
PW-0381,43,84,569250.0,138550.0,data\breakthroughcurves\PW-0381_r0043_c0084.png
PW-0386,43,89,569750.0,138550.0,data\breakthroughcurves\PW-0386_r0043_c0089.png
PW-0391,43,94,570250.0,138550.0,data\breakthroughcurves\PW-0391_r0043_c0094.png
PW-0396,43,99,570750.0,138550.0,data\breakthroughcurves\PW-0396_r0043_c0099.png
PW-0401,43,104,571250.0,138550.0,data\breakthroughcurves\PW-0401_r0043_c0104.png
PW-0406,43,109,571750.0,138550.0,data\breakthroughcurves\PW-0406_r0043_c0109.png
PW-0411,44,32,564050.0,138450.0,data\breakthroughcurves\PW-0411_r0044_c0032.png
PW-0416,44,37,564550.0,138450.0,data\breakthroughcurves\PW-0416_r0044_c0037.png
PW-0421,44,42,565050.0,138450.0,data\breakthroughcurves\PW-0421_r0044_c0042.png
PW-0426,44,47,565550.0,138450.0,data\breakthroughcurves\PW-0426_r0044_c0047.png
PW-0431,44,52,566050.0,138450.0,data\breakthroughcurves\PW-0431_r0044_c0052.png
PW-0436,44,57,566550.0,138450.0,data\breakthroughcurves\PW-0436_r0044_c0057.png
PW-0441,44,62,567050.0,138450.0,data\breakthroughcurves\PW-0441_r0044_c0062.png
PW-0446,44,67,567550.0,138450.0,data\breakthroughcurves\PW-0446_r0044_c0067.png
PW-0451,44,72,568050.0,138450.0,data\breakthroughcurves\PW-0451_r0044_c0072.png
PW-0456,44,77,568550.0,138450.0,data\breakthroughcurves\PW-0456_r0044_c0077.png
PW-0461,44,82,569050.0,138450.0,data\breakthroughcurves\PW-0461_r0044_c0082.png
PW-0466,44,87,569550.0,138450.0,data\breakthroughcurves\PW-0466_r0044_c0087.png
PW-0471,44,92,570050.0,138450.0,data\breakthroughcurves\PW-0471_r0044_c0092.png
PW-0476,44,97,570550.0,138450.0,data\breakthroughcurves\PW-0476_r0044_c0097.png
PW-0481,44,102,571050.0,138450.0,data\breakthroughcurves\PW-0481_r0044_c0102.png
PW-0486,44,107,571550.0,138450.0,data\breakthroughcurves\PW-0486_r0044_c0107.png
PW-0491,44,112,572050.0,138450.0,data\breakthroughcurves\PW-0491_r0044_c0112.png
PW-0496,45,35,564350.0,138350.0,data\breakthroughcurves\PW-0496_r0045_c0035.png
PW-0501,45,40,564850.0,138350.0,data\breakthroughcurves\PW-0501_r0045_c0040.png
PW-0506,45,45,565350.0,138350.0,data\breakthroughcurves\PW-0506_r0045_c0045.png
PW-0511,45,50,565850.0,138350.0,data\breakthroughcurves\PW-0511_r0045_c0050.png
PW-0516,45,55,566350.0,138350.0,data\breakthroughcurves\PW-0516_r0045_c0055.png
PW-0521,45,60,566850.0,138350.0,data\breakthroughcurves\PW-0521_r0045_c0060.png
PW-0526,45,65,567350.0,138350.0,data\breakthroughcurves\PW-0526_r0045_c0065.png
PW-0531,45,70,567850.0,138350.0,data\breakthroughcurves\PW-0531_r0045_c0070.png
PW-0536,45,75,568350.0,138350.0,data\breakthroughcurves\PW-0536_r0045_c0075.png
PW-0541,45,80,568850.0,138350.0,data\breakthroughcurves\PW-0541_r0045_c0080.png
PW-0546,45,85,569350.0,138350.0,data\breakthroughcurves\PW-0546_r0045_c0085.png
PW-0551,45,90,569850.0,138350.0,data\breakthroughcurves\PW-0551_r0045_c0090.png
PW-0556,45,95,570350.0,138350.0,data\breakthroughcurves\PW-0556_r0045_c0095.png
PW-0561,45,100,570850.0,138350.0,data\breakthroughcurves\PW-0561_r0045_c0100.png
PW-0566,45,105,571350.0,138350.0,data\breakthroughcurves\PW-0566_r0045_c0105.png
PW-0571,45,110,571850.0,138350.0,data\breakthroughcurves\PW-0571_r0045_c0110.png
PW-0576,46,33,564150.0,138250.0,data\breakthroughcurves\PW-0576_r0046_c0033.png
PW-0581,46,38,564650.0,138250.0,data\breakthroughcurves\PW-0581_r0046_c0038.png
PW-0586,46,43,565150.0,138250.0,data\breakthroughcurves\PW-0586_r0046_c0043.png
PW-0591,46,48,565650.0,138250.0,data\breakthroughcurves\PW-0591_r0046_c0048.png
PW-0596,46,53,566150.0,138250.0,data\breakthroughcurves\PW-0596_r0046_c0053.png
PW-0601,46,58,566650.0,138250.0,data\breakthroughcurves\PW-0601_r0046_c0058.png
PW-0606,46,63,567150.0,138250.0,data\breakthroughcurves\PW-0606_r0046_c0063.png
PW-0611,46,68,567650.0,138250.0,data\breakthroughcurves\PW-0611_r0046_c0068.png
PW-0616,46,73,568150.0,138250.0,data\breakthroughcurves\PW-0616_r0046_c0073.png
PW-0621,46,78,568650.0,138250.0,data\breakthroughcurves\PW-0621_r0046_c0078.png
PW-0626,46,83,569150.0,138250.0,data\breakthroughcurves\PW-0626_r0046_c0083.png
PW-0631,46,88,569650.0,138250.0,data\breakthroughcurves\PW-0631_r0046_c0088.png
PW-0636,46,93,570150.0,138250.0,data\breakthroughcurves\PW-0636_r0046_c0093.png
PW-0641,46,98,570650.0,138250.0,data\breakthroughcurves\PW-0641_r0046_c0098.png
PW-0646,46,103,571150.0,138250.0,data\breakthroughcurves\PW-0646_r0046_c0103.png
PW-0651,46,108,571650.0,138250.0,data\breakthroughcurves\PW-0651_r0046_c0108.png
PW-0656,46,113,572150.0,138250.0,data\breakthroughcurves\PW-0656_r0046_c0113.png
PW-0661,47,36,564450.0,138150.0,data\breakthroughcurves\PW-0661_r0047_c0036.png
PW-0666,47,41,564950.0,138150.0,data\breakthroughcurves\PW-0666_r0047_c0041.png
PW-0671,47,46,565450.0,138150.0,data\breakthroughcurves\PW-0671_r0047_c0046.png
PW-0676,47,51,565950.0,138150.0,data\breakthroughcurves\PW-0676_r0047_c0051.png
PW-0681,47,56,566450.0,138150.0,data\breakthroughcurves\PW-0681_r0047_c0056.png
PW-0686,47,61,566950.0,138150.0,data\breakthroughcurves\PW-0686_r0047_c0061.png
PW-0691,47,66,567450.0,138150.0,data\breakthroughcurves\PW-0691_r0047_c0066.png
PW-0696,47,71,567950.0,138150.0,data\breakthroughcurves\PW-0696_r0047_c0071.png
PW-0701,47,76,568450.0,138150.0,data\breakthroughcurves\PW-0701_r0047_c0076.png
PW-0706,47,81,568950.0,138150.0,data\breakthroughcurves\PW-0706_r0047_c0081.png
PW-0711,47,86,569450.0,138150.0,data\breakthroughcurves\PW-0711_r0047_c0086.png
PW-0716,47,91,569950.0,138150.0,data\breakthroughcurves\PW-0716_r0047_c0091.png
PW-0721,47,96,570450.0,138150.0,data\breakthroughcurves\PW-0721_r0047_c0096.png
PW-0726,47,101,570950.0,138150.0,data\breakthroughcurves\PW-0726_r0047_c0101.png
